,Name,Team,L/R,POS,IP,GS,GP,HA,R,ER,HR,BB,K,W,L,S,HD,BS,ERA,WHIP,SB,CS,SBP,W-Z,K-Z,S-Z,ERA-Z,WHIP-Z,Z-SUM,Z-SUM-A,ACV,
41,Luis Castillo,SEA,RIGHT,SP,180.66666666666669,32,32,228,76,71,23,46,162,11,8,0,0,0,3.537,1.517,13,5,0.072,0.715,0.666,-0.506,0.344,0.028,1.247,6.616,15.73808204947409,
42,Cade Smith,CLE,RIGHT,RP,73.66666666666669,0,76,81,31,24,4,19,104,8,5,16,0,0,2.932,1.357,1,1,0.014,-0.072,-0.608,0.952,0.488,0.424,1.184,6.553,15.588218208918336,
43,Jeff Hoffman,TOR,RIGHT,RP,67.99999999999999,0,71,83,34,33,15,27,84,9,7,33,0,0,4.368,1.618,7,2,0.103,0.19,-1.047,2.502,-0.311,-0.231,1.103,6.4719999999999995,15.395536128203794,
44,Ryan Pepiot,TBA,RIGHT,SP,167.66666666666666,31,31,190,77,72,26,61,167,11,12,0,0,0,3.865,1.497,16,8,0.095,0.715,0.776,-0.506,-0.11,0.142,1.017,6.385999999999999,15.19096009188959,
45,Logan Gilbert,SEA,RIGHT,SP,131.0,25,25,145,53,50,20,31,173,6,6,0,0,0,3.435,1.343,10,2,0.076,-0.597,0.908,-0.506,0.353,0.819,0.977,6.346,15.095808447092288,
46,Quinn Priester,MIL,RIGHT,SP| RP,157.33333333333331,24,29,199,62,58,18,50,132,13,3,0,0,0,3.318,1.583,7,5,0.044,1.24,0.007,-0.506,0.568,-0.341,0.968,6.337,15.074399327012893,
47,Noah Cameron,KCA,LEFT,SP,138.33333333333331,24,24,146,46,46,18,43,114,9,7,0,0,0,2.993,1.366,2,2,0.014,0.19,-0.388,-0.506,0.85,0.754,0.9,6.269,14.912641530857478,
48,Hunter Greene,CIN,RIGHT,SP,107.66666666666664,19,19,113,35,33,15,26,132,7,4,0,0,0,2.759,1.291,9,3,0.084,-0.334,0.007,-0.506,0.858,0.872,0.897,6.266,14.90550515749768,
49,Brady Singer,CIN,RIGHT,SP,169.66666666666666,32,32,211,80,76,19,60,163,14,12,0,0,0,4.031,1.597,14,4,0.083,1.502,0.688,-0.506,-0.331,-0.456,0.897,6.266,14.90550515749768,
50,Kenley Jansen,ANA,SWITCH,RP,59.0,0,62,51,18,17,8,19,57,5,4,29,0,0,2.593,1.186,13,0,0.22,-0.859,-1.64,2.137,0.546,0.695,0.88,6.249,14.865065708458825,
51,Brayan Bello,BOS,RIGHT,SP,166.66666666666666,28,29,187,71,62,16,59,124,11,9,0,0,0,3.348,1.476,16,6,0.096,0.715,-0.168,-0.506,0.563,0.264,0.867,6.236,14.834141423899702,
52,Emilio Pagan,CIN,LEFT,RP,68.66666666666667,0,70,62,26,22,10,22,81,2,4,32,0,0,2.884,1.223,3,1,0.044,-1.646,-1.113,2.411,0.481,0.72,0.852,6.221,14.798459557100713,
53,Trevor Megill,MIL,LEFT,RP,47.0,0,50,50,16,13,3,17,60,6,3,30,0,0,2.489,1.425,9,0,0.191,-0.597,-1.574,2.228,0.473,0.158,0.689,6.058,14.410716604551698,
54,Clay Holmes,NYN,RIGHT,SP,165.66666666666666,31,33,190,74,65,14,66,129,12,8,0,0,0,3.531,1.545,8,7,0.048,0.978,-0.059,-0.506,0.323,-0.142,0.594,5.963,14.184731448158102,
55,Raisel Iglesias,ATL,RIGHT,RP,67.33333333333334,0,70,71,25,24,8,16,73,4,6,29,0,0,3.208,1.292,5,1,0.074,-1.121,-1.289,2.137,0.301,0.543,0.571,5.9399999999999995,14.13001925239965,
56,Kris Bubic,KCA,LEFT,SP,116.33333333333334,20,20,128,38,33,6,39,116,8,7,0,0,0,2.553,1.435,2,3,0.017,-0.072,-0.344,-0.506,1.114,0.35,0.542,5.911,14.061034309921606,
57,Mason Miller,ATH| SDN,RIGHT,RP,61.66666666666667,0,60,38,19,18,5,28,104,1,2,22,0,0,2.627,1.070,4,2,0.065,-1.909,-0.608,1.499,0.555,0.979,0.517,5.886,14.001564531923291,
58,Casey Mize,DET,RIGHT,SP,149.00000000000003,28,28,208,68,64,21,36,139,14,6,0,0,0,3.866,1.638,11,7,0.074,1.502,0.161,-0.506,-0.098,-0.612,0.447,5.816,13.835049153528008,
59,Will Vest,DET,RIGHT,RP,68.66666666666667,0,64,75,26,23,4,22,75,6,5,23,0,0,3.015,1.413,2,0,0.029,-0.597,-1.245,1.59,0.41,0.262,0.421,5.79,13.77320058440976,
60,Tanner Bibee,CLE,RIGHT,SP,182.33333333333331,31,31,226,93,86,27,54,162,12,11,0,0,0,4.245,1.536,17,4,0.093,0.978,0.666,-0.506,-0.66,-0.094,0.384,5.753,13.685185312972255,
61,Ryne Nelson,ARI,RIGHT,SP| RP,154.0,23,33,175,62,58,17,41,132,7,3,1,0,0,3.390,1.403,1,1,0.006,-0.334,0.007,-0.415,0.47,0.642,0.37,5.739,13.651882237293199,
62,Ronny Henriquez,MIA,RIGHT,RP,72.99999999999999,0,69,73,23,18,8,27,98,7,1,7,0,0,2.219,1.370,17,0,0.233,-0.334,-0.74,0.132,0.889,0.389,0.335,5.704,13.568624548095556,
63,Shota Imanaga,CHN,LEFT,SP,144.66666666666666,25,25,169,62,60,31,26,117,9,8,0,0,0,3.733,1.348,2,3,0.014,0.19,-0.322,-0.506,0.054,0.882,0.298,5.667,13.48060927665805,
64,Spencer Schwellenbach,ATL,RIGHT,SP,110.66666666666667,17,17,122,44,38,13,18,108,7,4,0,0,0,3.090,1.265,3,2,0.027,-0.334,-0.52,-0.506,0.596,0.998,0.233,5.601999999999999,13.325987853862431,
65,Dennis Santana,PIT,RIGHT,RP,70.33333333333333,0,70,60,18,17,5,17,60,4,5,16,0,0,2.175,1.095,3,3,0.043,-1.121,-1.574,0.952,0.881,1.056,0.193,5.561999999999999,13.230836209065126,
66,Zack Littell,CIN| TBA,RIGHT,SP,186.66666666666666,32,32,244,81,79,36,32,130,10,8,0,0,0,3.809,1.479,16,5,0.086,0.453,-0.037,-0.506,-0.041,0.279,0.148,5.5169999999999995,13.12379060866816,
