TRank,H-Unnamed: 0,H-Name,H-Team,H-GP,H-BO,H-L/R,H-PA,H-AB,H-H,H-R,H-HR,H-RBI,H-BB,H-SB,H-CS,H-AVG,H-POS,H-R-Z,H-HR-Z,H-RBI-Z,H-SB-Z,H-AVG-Z,H-SUM-Z,H-SUM-Z-A,H-Adj-Val,H-ACV,H-Unnamed: 26,P-Unnamed: 0,P-Name,P-Team,P-L/R,P-POS,P-IP,P-GS,P-GP,P-HA,P-R,P-ER,P-HR,P-BB,P-K,P-W,P-L,P-S,P-HD,P-BS,P-ERA,P-WHIP,P-SB,P-CS,P-SBP,P-W-Z,P-K-Z,P-S-Z,P-ERA-Z,P-WHIP-Z,P-Z-SUM,P-Z-SUM-A,P-ACV,P-Unnamed: 32,ACV
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,Edwin Uceta,TBA| LAN| ARI| NYN,RIGHT,RP,41.66666666666666,0,30,26,8,7,2,8,57,2,0,5,0,0,1.512,0.816,3,1,0.072,-1.772,-1.697,-0.063,0.861,0.761,-1.91,4.88,9.1785832264439,,9.1785832264439
248,92,Jonathan India,KCA| CIN,151,1,RIGHT,637,533,132,84,15,58,80,13,2,0.248,2B,0.65,-0.575,-0.574,0.11,-0.402,-0.791,3.434,4.225,9.134128023279258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.134128023279258
249,93,Bryson Stott,PHI,147,5,LEFT,571,506,124,65,11,57,53,32,3,0.245,2B,-0.397,-1.022,-0.624,1.731,-0.483,-0.794,3.431,4.225,9.126148295827353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.126148295827353
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,Alexis Diaz,ATL| CIN| LAN,RIGHT,RP,56.33333333333333,0,60,42,31,25,6,31,55,2,5,28,0,0,3.994,1.296,7,3,0.124,-1.772,-1.74,1.952,-0.137,-0.274,-1.971,4.819,9.06385093611335,,9.06385093611335
251,88,Nolan Arenado,SLN| COL,152,4,RIGHT,635,578,157,70,16,71,44,2,2,0.272,3B,-0.121,-0.463,0.079,-0.829,0.629,-0.706,3.4,4.106,9.04369111215768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04369111215768
252,96,Kyle Tucker,CHN| HOU,78,2,LEFT,339,277,80,56,23,49,56,11,0,0.289,RF,-0.892,0.319,-1.025,-0.061,0.668,-0.992,3.396,4.388,9.033051475555142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.033051475555142
253,142,Tyler Fitzgerald,SFN,86,1,RIGHT,341,314,88,51,15,34,22,15,4,0.28,SS,-1.168,-0.575,-1.778,0.28,0.55,-2.69,3.39,6.08,9.017092020651337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.017092020651337
254,143,Ha-Seong Kim,ATL| TBA| SDN,121,8,RIGHT,470,403,94,60,11,47,58,22,5,0.233,SS,-0.672,-1.022,-1.126,0.878,-0.751,-2.692,3.388,6.08,9.011772202350066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.011772202350066
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,Joe Musgrove,PIT| SDN,RIGHT,SP,99.66666666666666,19,19,94,44,43,14,23,101,6,5,0,0,0,3.883,1.174,7,4,0.07,-0.731,-0.748,-0.501,-0.14,0.101,-2.019,4.771,8.973569789623738,,8.973569789623738
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,Joe Jimenez,DET| ATL,RIGHT,RP,68.66666666666667,0,69,45,22,20,2,23,82,1,5,3,0,0,2.621,0.99,4,0,0.058,-2.032,-1.158,-0.238,0.709,0.678,-2.041,4.7490000000000006,8.932190930816,,8.932190930816
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,Bryan Abreu,HOU,RIGHT,RP,78.33333333333334,0,78,59,27,27,9,32,103,3,3,1,0,0,3.102,1.162,13,3,0.166,-1.511,-0.705,-0.413,0.459,0.126,-2.045,4.745,8.924667501941865,,8.924667501941865
258,97,Jesus Sanchez,HOU| MIA,149,4,LEFT,537,489,123,60,18,64,41,16,2,0.252,RF,-0.672,-0.24,-0.273,0.366,-0.223,-1.042,3.346,4.388,8.900056018023413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.900056018023413
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,Andrew Kittredge,BAL| CHN| TBA| SLN,RIGHT,RP,70.66666666666666,0,74,60,26,22,10,20,67,5,5,1,0,0,2.802,1.132,11,0,0.156,-0.991,-1.482,-0.413,0.611,0.214,-2.06,4.73,8.896454643663862,,8.896454643663862
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,Alec Marsh,KCA,RIGHT,SP,129.0,25,26,123,70,65,19,39,123,9,9,0,0,0,4.535,1.256,9,2,0.07,0.05,-0.274,-0.501,-0.964,-0.378,-2.066,4.724,8.88516950035266,,8.88516950035266
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,Reed Garrett,NYN| WAS| BAL,RIGHT,RP,57.33333333333333,0,53,50,28,24,6,30,83,8,5,4,0,0,3.767,1.395,7,2,0.122,-0.21,-1.136,-0.151,-0.019,-0.554,-2.07,4.720000000000001,8.877646071478527,,8.877646071478527
262,98,Jorge Soler,ANA| KCA| ATL| MIA| SFN,142,1,RIGHT,574,493,119,84,21,64,68,1,0,0.241,DH| RF,0.65,0.096,-0.273,-0.915,-0.61,-1.051,3.337,4.388,8.8761168356677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8761168356677
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,Joel Payamps,ATL| MIL| ARI| KCA| TOR| OAK,RIGHT,RP,59.00000000000001,0,68,39,23,20,7,18,59,3,7,6,0,0,3.051,0.966,3,2,0.051,-1.511,-1.654,0.025,0.374,0.651,-2.116,4.674,8.791126639425979,,8.791126639425979
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,Brant Hurter,DET,LEFT,RP,45.33333333333333,1,10,34,13,13,4,6,38,6,1,0,0,0,2.581,0.882,1,0,0.022,-0.731,-2.107,-0.501,0.485,0.683,-2.17,4.62,8.689560349625166,,8.689560349625166
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,Shane Baz,TBA,RIGHT,SP,79.33333333333333,14,14,57,28,27,9,27,69,4,3,0,0,0,3.063,1.059,3,2,0.038,-1.251,-1.438,-0.501,0.494,0.521,-2.176,4.614,8.678275206313964,,8.678275206313964
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,Aaron Civale,CHA| CHN| MIL| CLE| TBA,RIGHT,SP,161.0,31,31,158,82,78,29,52,149,8,9,0,0,0,4.36,1.304,4,2,0.025,-0.21,0.287,-0.501,-0.941,-0.849,-2.214,4.5760000000000005,8.60680263200969,,8.60680263200969
267,95,Jake Cronenworth,SDN,154,3,LEFT,656,577,139,72,17,83,61,5,2,0.241,2B| 1B,-0.011,-0.351,0.681,-0.573,-0.735,-0.99,3.2349999999999994,4.225,8.60480610230297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.60480610230297
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,Andrew Heaney,LAN| PIT| ANA| NYA| TEX,LEFT,SP,159.99999999999997,31,32,159,84,76,23,41,159,5,14,0,0,0,4.275,1.25,8,1,0.05,-0.991,0.503,-0.501,-0.808,-0.424,-2.222,4.568,8.59175577426142,,8.59175577426142
269,102,Randy Arozarena,SEA| TBA,154,2,RIGHT,648,549,120,77,20,60,73,20,10,0.219,LF,0.265,-0.016,-0.473,0.707,-1.642,-1.16,3.228,4.388,8.586186738248527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.586186738248527
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,Reese Olson,DET,RIGHT,SP,112.33333333333331,22,22,100,51,44,7,33,101,4,8,0,0,0,3.525,1.184,9,1,0.08,-1.251,-0.748,-0.501,0.216,0.06,-2.225,4.565,8.58611320260582,,8.58611320260582
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,Nick Sandlin,TOR| CLE,RIGHT,RP,57.66666666666666,1,68,46,29,24,12,27,68,8,0,1,0,0,3.746,1.266,6,2,0.104,-0.21,-1.46,-0.413,-0.007,-0.197,-2.288,4.502000000000001,8.467619197838205,,8.467619197838205
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,Andre Pallante,SLN,RIGHT,SP| RP,121.33333333333334,20,29,110,55,51,8,48,94,8,8,0,0,0,3.783,1.302,26,6,0.214,-0.21,-0.899,-0.501,-0.058,-0.627,-2.295,4.495,8.45445319730847,,8.45445319730847
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,Ryan Thompson,ARI| TBA,RIGHT,RP,66.33333333333331,0,67,64,26,24,5,15,52,7,5,2,0,0,3.256,1.191,17,1,0.256,-0.47,-1.805,-0.326,0.294,0.013,-2.295,4.495,8.45445319730847,,8.45445319730847
274,172,J. T. Realmuto,PHI,99,6,RIGHT,413,380,101,50,14,47,27,2,2,0.266,CC,-1.223,-0.687,-1.126,-0.829,0.243,-3.621,3.161,6.782,8.407972825156008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.407972825156008
275,103,Matt Vierling,DET| PHI,143,1,RIGHT,567,518,133,79,16,57,41,6,1,0.257,3B| CF| RF,0.375,-0.463,-0.624,-0.488,-0.028,-1.228,3.16,4.388,8.405312916005375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.405312916005375
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,Chris Bassitt,TOR| OAK| NYN,RIGHT,SP,171.0,31,31,180,91,79,18,70,168,10,14,0,0,0,4.158,1.462,14,9,0.082,0.31,0.697,-0.501,-0.678,-2.201,-2.372,4.418,8.309627191481383,,8.309627191481383
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,JoJo Romero,SLN| PHI,LEFT,RP,59.00000000000002,0,65,52,23,22,8,16,51,7,3,1,0,0,3.356,1.153,1,2,0.017,-0.47,-1.827,-0.413,0.206,0.121,-2.383,4.407,8.288937762077513,,8.288937762077513
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,Garrett Cleavinger,TBA| PHI| LAN,LEFT,RP,60.000000000000014,0,68,52,29,25,6,31,71,7,5,6,0,0,3.75,1.383,14,1,0.233,-0.47,-1.395,0.025,-0.01,-0.545,-2.396,4.394,8.264486618236576,,8.264486618236576
279,176,David Fry,CLE,122,5,RIGHT,392,335,88,44,14,51,42,4,1,0.263,CC| DH| 1B,-1.554,-0.687,-0.925,-0.659,0.134,-3.689,3.093,6.782,8.227099002912855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.227099002912855
280,100,Gleyber Torres,DET| NYA,154,1,RIGHT,665,587,151,80,15,63,65,4,3,0.257,2B,0.43,-0.575,-0.323,-0.659,-0.01,-1.137,3.088,4.225,8.21379945715968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21379945715968
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,Camilo Doval,NYA| SFN,RIGHT,RP,59.00000000000001,0,62,54,35,32,5,39,78,5,3,23,0,0,4.881,1.576,12,0,0.203,-0.991,-1.244,1.514,-0.631,-1.084,-2.436,4.354,8.189252329495233,,8.189252329495233
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,Kyle Gibson,BAL| TEX| PHI| SLN,RIGHT,SP,169.66666666666669,30,30,161,91,80,23,68,151,8,8,0,0,0,4.244,1.35,8,1,0.047,-0.21,0.33,-0.501,-0.808,-1.265,-2.454,4.336,8.155396899561628,,8.155396899561628
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,Lance Lynn,TEX| CHA| LAN| SLN,RIGHT,SP,117.33333333333334,23,23,113,64,50,16,44,109,7,4,0,0,0,3.835,1.338,16,3,0.136,-0.47,-0.576,-0.501,-0.113,-0.809,-2.469,4.321,8.127184041283623,,8.127184041283623
284,154,Xavier Edwards,MIA,70,1,SWITCH,303,265,87,39,1,26,33,31,4,0.328,SS,-1.829,-2.14,-2.179,1.646,1.444,-3.058,3.022,6.08,8.0382454532178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0382454532178
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,Ryan Weathers,MIA| SDN,LEFT,SP,86.66666666666666,16,16,78,39,35,11,24,80,5,6,0,0,0,3.635,1.177,5,2,0.058,-0.991,-1.201,-0.501,0.079,0.076,-2.539,4.251,7.995524035986272,,7.995524035986272
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,Osvaldo Bido,ATH| PIT| OAK,RIGHT,SP| RP,63.333333333333336,9,16,43,25,24,3,26,63,5,3,0,0,0,3.41,1.089,6,1,0.095,-0.991,-1.568,-0.501,0.189,0.322,-2.548,4.242,7.978596321019471,,7.978596321019471
287,155,Ernie Clement,TOR| CLE| OAK,128,8,RIGHT,452,434,114,46,12,51,11,12,3,0.263,3B| SS,-1.443,-0.91,-0.925,0.024,0.174,-3.081,2.999,6.08,7.977067542753202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.977067542753202
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,Will Vest,DET| SEA,RIGHT,RP,70.33333333333334,0,69,61,23,22,3,18,63,3,4,2,0,0,2.815,1.123,3,2,0.043,-1.511,-1.568,-0.326,0.6,0.243,-2.562,4.228,7.95226431996,,7.95226431996
289,156,Paul DeJong,WAS| SLN| SFN| TOR| CHA| KCA,136,6,RIGHT,482,445,101,54,24,56,23,2,2,0.227,SS| 3B,-1.003,0.431,-0.674,-0.829,-1.044,-3.119,2.961,6.08,7.8759909950290865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8759909950290865
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,Mitchell Parker,WAS,LEFT,SP,151.0,29,29,154,82,72,18,43,133,7,10,0,0,0,4.291,1.305,4,1,0.026,-0.47,-0.058,-0.501,-0.786,-0.798,-2.613,4.177,7.856340601814788,,7.856340601814788
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,Tyler Rogers,NYN| SFN,RIGHT,RP,70.33333333333334,0,77,67,23,22,7,6,51,3,4,1,0,0,2.815,1.038,7,2,0.1,-1.511,-1.827,-0.413,0.6,0.533,-2.619,4.170999999999999,7.845055458503586,,7.845055458503586
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,Trent Thornton,SEA| TOR,RIGHT,RP,72.33333333333334,0,71,63,32,29,8,19,77,4,3,1,0,0,3.608,1.134,7,6,0.097,-1.251,-1.266,-0.413,0.083,0.214,-2.633,4.157,7.818723457444117,,7.818723457444117
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,Devin Williams,NYA| MIL,RIGHT,RP,21.666666666666664,0,22,10,3,3,1,11,38,1,0,14,0,0,1.246,0.969,1,0,0.046,-2.032,-2.107,0.726,0.501,0.236,-2.677,4.113,7.735965739828638,,7.735965739828638
294,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,Javier Assad,CHN,RIGHT,SP,147.0,29,29,143,64,61,20,63,124,7,6,0,0,0,3.735,1.401,11,6,0.075,-0.47,-0.252,-0.501,-0.004,-1.462,-2.69,4.1,7.711514595987701,,7.711514595987701
295,106,Byron Buxton,MIN,96,5,RIGHT,388,355,99,60,18,56,20,6,2,0.279,CF,-0.672,-0.24,-0.674,-0.488,0.584,-1.489,2.899,4.388,7.7110766276897404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7110766276897404
296,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,Jorge Alcala,BOS| MIN| SLN,RIGHT,RP,58.33333333333333,0,54,40,23,21,8,20,58,4,3,0,0,0,3.24,1.029,9,3,0.154,-1.251,-1.676,-0.501,0.267,0.468,-2.693,4.097,7.7058720243321,,7.7058720243321
297,159,Xander Bogaerts,SDN| BOS,111,5,RIGHT,463,428,113,50,11,44,28,13,3,0.264,2B| SS,-1.223,-1.022,-1.276,0.11,0.216,-3.196,2.884,6.08,7.671177990430221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.671177990430221
298,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,Shelby Miller,ARI| MIL| CHN| PIT| SFN| LAN| DET,RIGHT,RP,55.66666666666666,0,51,41,31,28,9,13,49,6,8,2,0,0,4.527,0.97,5,0,0.09,-0.731,-1.87,-0.326,-0.412,0.604,-2.734,4.056,7.628756878372225,,7.628756878372225
299,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,Spencer Turnbull,TOR| DET| PHI,RIGHT,SP| RP,54.333333333333336,7,17,37,17,16,6,20,58,3,0,0,0,0,2.65,1.049,6,1,0.11,-1.511,-1.676,-0.501,0.547,0.382,-2.759,4.031000000000001,7.581735447908886,,7.581735447908886
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,Ryne Stanek,NYN| MIA| HOU| SEA,RIGHT,RP,55.33333333333332,0,63,48,32,30,8,25,67,7,3,7,0,0,4.88,1.319,2,0,0.036,-0.47,-1.482,0.112,-0.591,-0.331,-2.762,4.0280000000000005,7.576092876253285,,7.576092876253285
301,108,Brandon Marsh,PHI| ANA,134,7,LEFT,476,418,104,55,16,60,50,19,3,0.249,LF| CF,-0.947,-0.463,-0.473,0.622,-0.279,-1.541,2.847,4.388,7.572761351856741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.572761351856741
302,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,Spencer Arrighetti,HOU,RIGHT,SP,145.00000000000003,28,29,139,80,73,21,65,171,7,13,0,0,0,4.531,1.407,16,5,0.11,-0.47,0.762,-0.501,-1.078,-1.481,-2.769,4.021,7.562926875723549,,7.562926875723549
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,Pierce Johnson,ATL| SDN| COL,RIGHT,RP,56.33333333333335,0,58,48,25,23,6,25,67,6,6,2,0,0,3.675,1.296,8,1,0.142,-0.731,-1.482,-0.326,0.03,-0.274,-2.782,4.008,7.538475731882612,,7.538475731882612
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,Yimi Garcia,TOR| MIA| HOU| SEA,RIGHT,RP,39.0,0,39,23,15,15,6,12,49,3,0,5,0,0,3.462,0.897,5,0,0.128,-1.511,-1.87,-0.063,0.098,0.559,-2.787,4.003,7.529071445789945,,7.529071445789945
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,Yennier Cano,BAL| MIN,RIGHT,RP,59.99999999999999,0,70,54,24,21,6,24,65,4,3,5,0,0,3.15,1.3,7,3,0.117,-1.251,-1.525,-0.063,0.325,-0.304,-2.818,3.972,7.470764872015403,,7.470764872015403
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,Michael Tonkin,MIN| ATL| NYA| NYN,RIGHT,RP,79.3333333333333,0,57,70,43,32,6,30,85,4,4,2,0,0,3.63,1.26,8,1,0.101,-1.251,-1.093,-0.326,0.075,-0.251,-2.846,3.944,7.418100869896462,,7.418100869896462
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,Pedro Avila,SDN| CLE,RIGHT,RP,82.66666666666667,0,54,73,38,35,8,36,82,6,1,1,0,0,3.811,1.319,0,0,0.0,-0.731,-1.158,-0.413,-0.06,-0.492,-2.855,3.935,7.40117315492966,,7.40117315492966
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,Tyler Ferguson,ATH| OAK,RIGHT,RP,51.33333333333334,0,48,32,23,21,4,24,62,4,2,2,0,0,3.682,1.091,0,2,0.0,-1.251,-1.589,-0.326,0.024,0.258,-2.885,3.905,7.344747438373654,,7.344747438373654
309,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,Buck Farmer,DET| CIN,RIGHT,RP,70.99999999999999,1,61,56,25,24,7,29,70,3,2,1,0,0,3.042,1.197,12,2,0.169,-1.511,-1.417,-0.413,0.456,-0.007,-2.894,3.896,7.327819723406851,,7.327819723406851
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,Jose Leclerc,ATH| TEX,RIGHT,RP,66.66666666666667,0,64,56,33,32,7,32,89,6,5,1,0,0,4.32,1.32,11,3,0.165,-0.731,-1.007,-0.413,-0.365,-0.402,-2.918,3.872,7.2826791501620445,,7.2826791501620445
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,Dennis Santana,PIT| LAN| TEX| NYN| NYA,RIGHT,RP,71.66666666666664,0,62,57,33,31,4,21,69,3,1,3,0,0,3.893,1.088,7,2,0.098,-1.511,-1.438,-0.238,-0.107,0.368,-2.927,3.863,7.265751435195242,,7.265751435195242
312,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,A. J. Minter,NYN| ATL,LEFT,RP,34.33333333333334,0,39,24,10,10,6,11,35,5,4,1,0,0,2.621,1.019,1,3,0.029,-0.991,-2.172,-0.413,0.355,0.291,-2.931,3.859,7.258228006321108,,7.258228006321108
313,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,Hunter Strickland,ANA| NYN| MIL| TBA| CIN,RIGHT,RP,73.33333333333333,0,72,56,31,27,10,24,57,3,2,1,0,0,3.314,1.091,6,2,0.082,-1.511,-1.697,-0.413,0.285,0.368,-2.969,3.821,7.186755432016832,,7.186755432016832
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,Joe Mantiply,ARI,LEFT,RP,59.66666666666668,2,75,52,27,26,1,18,53,6,2,1,0,0,3.922,1.173,7,1,0.117,-0.731,-1.784,-0.413,-0.105,0.063,-2.97,3.82,7.184874574798298,,7.184874574798298
315,113,Jesse Winker,NYN| CIN| SEA| MIL| WAS,144,3,LEFT,508,430,109,63,14,58,63,14,4,0.253,LF| DH,-0.507,-0.687,-0.574,0.195,-0.132,-1.704,2.684,4.388,7.1391961603033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1391961603033
316,164,Isiah Kiner-Falefa,PIT| TOR| TEX| NYA,128,8,RIGHT,496,465,125,53,8,43,16,11,2,0.269,2B| SS| 3B,-1.058,-1.357,-1.326,-0.061,0.406,-3.397,2.6830000000000003,6.08,7.136536251152665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.136536251152665
317,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,Landon Knack,LAN,RIGHT,SP| RP,69.0,12,15,58,28,28,14,18,69,3,5,1,0,0,3.652,1.101,7,0,0.101,-1.511,-1.438,-0.413,0.051,0.311,-3.001,3.789,7.126568001023757,,7.126568001023757
318,91,Paul Goldschmidt,NYA| SLN,154,3,RIGHT,654,599,147,70,22,65,47,11,0,0.245,1B,-0.121,0.208,-0.222,-0.061,-0.556,-0.753,2.677,3.43,7.120576796248857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.120576796248857
319,114,Jacob Young,WAS,145,9,RIGHT,521,468,120,74,3,36,30,33,9,0.256,CF,0.099,-1.916,-1.677,1.817,-0.038,-1.716,2.672,4.388,7.107277250495683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.107277250495683
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,DJ Herz,WAS,LEFT,SP,88.66666666666666,19,19,76,45,41,11,36,106,4,9,0,0,0,4.162,1.263,2,0,0.023,-1.251,-0.64,-0.501,-0.354,-0.291,-3.038,3.752,7.056976283938015,,7.056976283938015
321,186,Willson Contreras,SLN| CHN,84,3,RIGHT,358,301,79,48,15,36,45,4,1,0.262,CC| DH,-1.333,-0.575,-1.677,-0.659,0.115,-4.129,2.6530000000000005,6.782,7.056738976633628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.056738976633628
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,Seranthony Dominguez,BAL| TOR| PHI,RIGHT,RP,58.66666666666668,0,63,52,32,29,12,21,68,3,4,11,0,0,4.449,1.244,12,0,0.205,-1.511,-1.46,0.463,-0.391,-0.139,-3.039,3.751,7.055095426719481,,7.055095426719481
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Eli Morgan,CHN| CLE,RIGHT,RP,42.0,0,32,30,11,9,4,11,34,3,0,0,0,0,1.929,0.976,8,2,0.19,-1.511,-2.193,-0.501,0.705,0.443,-3.058,3.732,7.019359139567343,,7.019359139567343
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,Jose Alvarado,PHI| TBA,LEFT,RP,61.66666666666667,0,66,49,30,28,6,28,63,2,5,13,0,0,4.087,1.249,7,1,0.114,-1.772,-1.568,0.638,-0.203,-0.159,-3.064,3.726,7.008073996256141,,7.008073996256141
325,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,Phil Maton,SLN| TEX| CLE| HOU| NYN| TBA,RIGHT,RP,64.0,0,71,47,27,26,7,24,60,3,3,3,0,0,3.656,1.109,2,2,0.031,-1.511,-1.633,-0.238,0.045,0.264,-3.073,3.717,6.991146281289339,,6.991146281289339
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,Adrian Morejon,SDN,LEFT,RP,63.66666666666665,0,60,63,24,20,4,21,71,3,2,2,0,0,2.827,1.319,9,0,0.141,-1.511,-1.395,-0.326,0.536,-0.382,-3.078,3.712,6.981741995196671,,6.981741995196671
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Simeon Woods Richardson,MIN,RIGHT,SP,133.66666666666666,28,28,125,63,62,16,48,117,5,5,0,0,0,4.175,1.294,11,2,0.082,-0.991,-0.403,-0.501,-0.55,-0.64,-3.085,3.705,6.968575994666936,,6.968575994666936
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,Bailey Falter,KCA| PIT| PHI,LEFT,SP,142.33333333333334,28,28,138,72,70,17,45,97,8,9,0,0,0,4.426,1.286,18,5,0.126,-0.21,-0.834,-0.501,-0.919,-0.622,-3.087,3.703,6.964814280229868,,6.964814280229868
329,168,David Hamilton,BOS,93,8,LEFT,317,294,73,44,8,28,22,32,4,0.248,SS| 2B,-1.554,-1.357,-2.079,1.731,-0.207,-3.466,2.614,6.08,6.953002519758876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.953002519758876
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,Yuki Matsui,SDN,LEFT,RP,62.66666666666668,0,64,46,27,26,8,27,69,4,2,0,0,0,3.734,1.165,2,1,0.032,-1.251,-1.438,-0.501,-0.001,0.091,-3.101,3.689,6.938482279170398,,6.938482279170398
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,James McArthur,KCA,RIGHT,RP,56.66666666666666,0,57,68,36,31,8,14,49,5,7,18,0,0,4.923,1.447,3,1,0.053,-0.991,-1.87,1.076,-0.628,-0.689,-3.101,3.689,6.938482279170398,,6.938482279170398
332,116,Luke Raley,SEA| LAN| TBA,133,5,LEFT,455,404,98,56,22,58,27,11,2,0.243,LF| 1B| RF,-0.892,0.208,-0.574,-0.061,-0.463,-1.782,2.606,4.388,6.9317232465538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9317232465538
333,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,Matt Waldron,SDN,RIGHT,SP,146.66666666666669,26,27,145,84,80,21,40,133,7,11,0,0,0,4.909,1.261,16,2,0.109,-0.47,-0.058,-0.501,-1.606,-0.469,-3.105,3.685,6.930958850296264,,6.930958850296264
334,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,Zack Kelly,BOS,RIGHT,SP| RP,56.66666666666666,3,49,44,31,25,10,27,61,6,3,0,0,0,3.971,1.253,6,1,0.106,-0.731,-1.611,-0.501,-0.126,-0.158,-3.127,3.663,6.889579991488525,,6.889579991488525
