,Name,Team,GP,BO,L/R,PA,AB,H,R,HR,RBI,BB,SB,CS,AVG,POS,R-Z,HR-Z,RBI-Z,SB-Z,AVG-Z,SUM-Z,SUM-Z-A,Adj-Val,ACV,
139,Nolan Schanuel,ANA,146,1,LEFT,607,519,130,62,13,54,68,10,1,0.25,1B,-0.562,-0.798,-0.774,-0.146,-0.279,-2.56,0.8700000000000001,3.43,2.314120961052113,
140,Daulton Varsho,TOR| ARI,131,2,LEFT,513,459,98,71,18,58,48,10,2,0.214,CF| LF,-0.066,-0.24,-0.574,-0.146,-1.552,-2.578,1.81,4.388,4.814435562648648,
141,Zack Gelof,ATH| OAK,137,6,RIGHT,547,497,105,60,17,49,38,25,3,0.211,2B,-0.672,-0.351,-1.025,1.134,-1.766,-2.681,1.5439999999999996,4.225,4.10689972857984,
142,Tyler Fitzgerald,SFN,86,1,RIGHT,341,314,88,51,15,34,22,15,4,0.28,SS,-1.168,-0.575,-1.778,0.28,0.55,-2.69,3.39,6.08,9.017092020651337,
143,Ha-Seong Kim,ATL| TBA| SDN,121,8,RIGHT,470,403,94,60,11,47,58,22,5,0.233,SS,-0.672,-1.022,-1.126,0.878,-0.751,-2.692,3.388,6.08,9.011772202350066,
144,Michael Conforto,LAN| NYN| SFN,130,4,LEFT,488,438,104,56,20,66,42,0,1,0.237,LF| DH,-0.892,-0.016,-0.172,-1.0,-0.675,-2.755,1.633,4.388,4.343631642986321,
145,Trevor Larnach,MIN,112,2,LEFT,400,355,92,59,15,52,40,4,1,0.259,DH| LF,-0.727,-0.575,-0.875,-0.659,0.046,-2.789,1.5989999999999998,4.388,4.2531947318647445,
146,Jo Adell,ANA,127,7,RIGHT,451,405,84,53,20,62,35,14,10,0.207,RF,-1.058,-0.016,-0.373,0.195,-1.559,-2.811,1.577,4.388,4.194676730550784,
147,Victor Robles,SEA| WAS,80,1,RIGHT,295,254,78,41,4,28,21,33,2,0.307,CF| RF,-1.719,-1.804,-2.079,1.817,0.969,-2.816,1.572,4.388,4.1813771847976104,
148,Ryan Jeffers,MIN,121,3,RIGHT,465,412,93,56,21,64,32,3,0,0.226,DH| CC,-0.892,0.096,-0.273,-0.744,-1.006,-2.819,3.963,6.782,10.541219963964968,
149,Andrew McCutchen,PIT| PHI| MIL,120,1,RIGHT,515,448,104,66,20,50,58,3,2,0.232,DH,-0.341,-0.016,-0.975,-0.744,-0.873,-2.949,-0.3764999999999996,2.5725000000000002,-1.0014557952139305,
150,Joey Ortiz,MIL| BAL,137,8,RIGHT,511,440,105,58,11,60,56,11,6,0.239,3B,-0.782,-1.022,-0.473,-0.061,-0.637,-2.976,1.13,4.106,3.0056973402171114,
151,Harrison Bader,MIN| PHI| SLN| NYA| CIN| NYN,133,9,RIGHT,437,402,95,55,12,51,21,17,8,0.236,CF,-0.947,-0.91,-0.925,0.451,-0.654,-2.986,1.4019999999999997,4.388,3.7291926291897255,
152,Alex Verdugo,ATL| BOS| NYA,148,4,LEFT,621,559,130,74,13,61,49,2,1,0.233,LF,0.099,-0.798,-0.423,-0.829,-1.071,-3.023,1.3649999999999998,4.388,3.630775990616245,
153,Charlie Blackmon,COL,124,1,LEFT,499,449,115,59,12,52,43,6,2,0.256,DH| RF,-0.727,-0.91,-0.875,-0.488,-0.047,-3.046,1.342,4.388,3.56959808015165,
154,Xavier Edwards,MIA,70,1,SWITCH,303,265,87,39,1,26,33,31,4,0.328,SS,-1.829,-2.14,-2.179,1.646,1.444,-3.058,3.0220000000000002,6.08,8.0382454532178,
155,Ernie Clement,TOR| CLE| OAK,128,8,RIGHT,452,434,114,46,12,51,11,12,3,0.263,3B| SS,-1.443,-0.91,-0.925,0.024,0.174,-3.081,2.999,6.08,7.977067542753202,
156,Paul DeJong,WAS| SLN| SFN| TOR| CHA| KCA,136,6,RIGHT,482,445,101,54,24,56,23,2,2,0.227,SS| 3B,-1.003,0.431,-0.674,-0.829,-1.044,-3.119,2.961,6.08,7.8759909950290865,
157,Leody Taveras,SEA| TEX,148,9,SWITCH,529,480,110,58,12,44,42,22,6,0.229,CF,-0.782,-0.91,-1.276,0.878,-1.045,-3.136,1.2519999999999998,4.388,3.330206256594534,
158,Mike Yastrzemski,KCA| SFN,136,7,LEFT,474,428,99,60,18,57,38,3,2,0.231,RF,-0.672,-0.24,-0.624,-0.744,-0.861,-3.141,1.2469999999999999,4.388,3.3169067108413612,
159,Xander Bogaerts,SDN| BOS,111,5,RIGHT,463,428,113,50,11,44,28,13,3,0.264,2B| SS,-1.223,-1.022,-1.276,0.11,0.216,-3.196,2.884,6.08,7.6711779904302215,
160,Kerry Carpenter,DET,87,4,LEFT,296,264,75,37,18,57,22,0,2,0.284,RF| DH,-1.939,-0.24,-0.624,-1.0,0.541,-3.262,1.126,4.388,2.995057703614573,
161,Andrew Benintendi,CHA| BOS| KCA| NYA,135,3,LEFT,522,477,109,50,20,64,41,3,2,0.229,LF,-1.223,-0.016,-0.273,-0.744,-1.062,-3.318,1.0699999999999998,4.388,2.8461027911790344,
162,Pete Crow-Armstrong,CHN,115,8,LEFT,410,372,88,46,10,47,21,23,3,0.237,CF,-1.443,-1.134,-1.126,0.963,-0.598,-3.338,1.0499999999999998,4.388,2.7929046081663422,
163,Luis Rengifo,ANA,77,2,SWITCH,304,283,85,40,6,30,16,24,7,0.3,2B| 3B,-1.774,-1.581,-1.978,1.049,0.933,-3.351,0.8739999999999997,4.225,2.32476059765465,
164,Isiah Kiner-Falefa,PIT| TOR| TEX| NYA,128,8,RIGHT,496,465,125,53,8,43,16,11,2,0.269,2B| SS| 3B,-1.058,-1.357,-1.326,-0.061,0.406,-3.397,2.6830000000000003,6.08,7.136536251152665,
165,Otto Lopez,MIA| TOR,113,6,RIGHT,434,403,109,48,6,39,25,19,4,0.27,2B,-1.333,-1.581,-1.527,0.622,0.403,-3.416,0.8089999999999997,4.225,2.1518665028634003,
166,Justin Turner,CHN| LAN| BOS| SEA| TOR,139,4,RIGHT,539,460,119,59,11,55,59,0,2,0.259,1B| DH,-0.727,-1.022,-0.724,-1.0,0.043,-3.43,0.0,3.43,0.0,
167,Blake Perkins,MIL,118,9,SWITCH,434,383,92,54,6,43,42,23,4,0.24,CF,-1.003,-1.581,-1.326,0.963,-0.509,-3.455,0.9329999999999998,4.388,2.481695237542093,
168,David Hamilton,BOS,93,8,LEFT,317,294,73,44,8,28,22,32,4,0.248,SS| 2B,-1.554,-1.357,-2.079,1.731,-0.207,-3.466,2.614,6.08,6.953002519758876,
169,Masataka Yoshida,BOS,108,6,LEFT,421,378,106,45,10,56,27,2,0,0.28,DH,-1.498,-1.134,-0.674,-0.829,0.667,-3.468,-0.8954999999999997,2.5725000000000002,-2.3819486443932947,
170,Andy Pages,LAN,115,5,RIGHT,443,403,100,65,13,46,29,1,2,0.248,RF| CF,-0.397,-0.798,-1.176,-0.915,-0.289,-3.575,0.8129999999999997,4.388,2.162506139465939,
171,Ozzie Albies,ATL,99,2,SWITCH,435,399,100,52,10,53,27,8,1,0.251,2B,-1.113,-1.134,-0.825,-0.317,-0.21,-3.598,0.6269999999999998,4.225,1.6677630374479013,
172,J. T. Realmuto,PHI,99,6,RIGHT,413,380,101,50,14,47,27,2,2,0.266,CC,-1.223,-0.687,-1.126,-0.829,0.243,-3.621,3.161,6.782,8.407972825156008,
173,Gavin Lux,CIN| LAN,138,8,LEFT,487,439,110,59,10,50,44,5,2,0.251,2B,-0.727,-1.134,-0.975,-0.573,-0.233,-3.642,0.5829999999999997,4.225,1.5507270348199782,
174,Sal Frelick,MIL,143,7,LEFT,524,475,123,66,2,32,39,18,3,0.259,RF| CF| LF,-0.341,-2.028,-1.878,0.536,0.054,-3.657,0.7309999999999999,4.388,1.9443935891139013,
175,J. D. Martinez,BOS| LAN| NYN,120,3,RIGHT,495,434,102,46,16,69,49,0,0,0.235,DH,-1.443,-0.463,-0.022,-1.0,-0.749,-3.678,-1.1054999999999997,2.5725000000000002,-2.940529566026563,
176,David Fry,CLE,122,5,RIGHT,392,335,88,44,14,51,42,4,1,0.263,CC| DH| 1B,-1.554,-0.687,-0.925,-0.659,0.134,-3.689,3.093,6.782,8.227099002912855,
177,Dylan Moore,SEA| TEX,130,9,RIGHT,441,368,74,50,10,42,53,30,5,0.201,SS| 3B| 2B| LF,-1.223,-1.134,-1.376,1.561,-1.596,-3.768,2.3120000000000003,6.08,6.149709956267224,
178,Starling Marte,NYN| ARI| MIA| OAK,92,2,RIGHT,370,335,90,45,7,40,27,16,1,0.269,RF,-1.498,-1.469,-1.477,0.366,0.288,-3.79,0.5979999999999999,4.388,1.5906256720794978,
179,Jeimer Candelario,CIN| DET| CHN| WAS,112,3,SWITCH,463,427,96,47,20,56,27,4,3,0.225,1B| 3B| DH,-1.388,-0.016,-0.674,-0.659,-1.072,-3.809,0.2969999999999997,4.106,0.7899930177384791,
180,Jake Meyers,HOU,138,7,RIGHT,513,461,101,51,13,61,35,11,2,0.219,CF,-1.168,-0.798,-0.423,-0.061,-1.361,-3.811,0.577,4.388,1.534767579916171,
181,Jose Miranda,MIN,121,4,RIGHT,429,401,114,44,9,49,18,2,2,0.284,3B| DH,-1.554,-1.246,-1.025,-0.829,0.827,-3.826,0.2799999999999998,4.106,0.7447745621776909,
182,Luis Robert,CHA,100,3,RIGHT,425,393,88,47,14,35,28,23,6,0.224,CF,-1.388,-0.687,-1.728,0.963,-1.014,-3.854,0.5339999999999998,4.388,1.4203914864388825,
183,James Wood,WAS,79,2,LEFT,336,295,78,43,9,41,39,14,8,0.264,LF,-1.609,-1.246,-1.427,0.195,0.157,-3.928,0.45999999999999996,4.388,1.2235582092919215,
184,Geraldo Perdomo,ARI,97,9,SWITCH,388,337,92,61,3,37,36,9,1,0.273,SS,-0.617,-1.916,-1.627,-0.232,0.402,-3.99,2.09,6.08,5.559210124826339,
185,Christopher Morel,TBA| CHN,152,4,RIGHT,611,535,105,56,21,60,61,8,7,0.196,DH| 3B| 2B,-0.892,0.096,-0.473,-0.317,-2.519,-4.106,0.11899999999999977,4.225,0.31652918892551823,
186,Willson Contreras,SLN| CHN,84,3,RIGHT,358,301,79,48,15,36,45,4,1,0.262,CC| DH,-1.333,-0.575,-1.677,-0.659,0.115,-4.129,2.6530000000000005,6.782,7.0567389766336275,
187,Josh Lowe,TBA,106,4,LEFT,387,353,85,37,10,34,32,25,1,0.241,RF,-1.939,-1.134,-1.778,1.134,-0.453,-4.17,0.21799999999999997,4.388,0.5798601948383454,
188,Jake Fraley,ATL| CIN| SEA,112,5,LEFT,382,350,97,44,5,26,26,20,5,0.277,RF,-1.554,-1.693,-2.179,0.707,0.53,-4.189,0.19899999999999984,4.388,0.5293219209762874,
189,Randal Grichuk,ARI| KCA| TOR| COL| ANA,103,5,RIGHT,279,254,74,40,12,46,20,0,0,0.291,RF| DH,-1.774,-0.91,-1.176,-1.0,0.662,-4.198,0.1899999999999995,4.388,0.505382738620575,
190,Jeff McNeil,NYN,124,8,LEFT,472,424,101,57,12,44,35,5,1,0.238,2B,-0.837,-0.91,-1.276,-0.573,-0.628,-4.225,0.0,4.225,0.0,
191,Michael Massey,KCA,100,5,LEFT,356,332,86,45,14,45,15,1,0,0.259,2B,-1.498,-0.687,-1.226,-0.915,0.04,-4.286,-0.06099999999999994,4.225,-0.1622544581887112,
192,Jarred Kelenic,ATL| SEA,128,1,LEFT,449,412,95,49,15,45,32,7,2,0.231,LF| CF,-1.278,-0.575,-1.226,-0.403,-0.852,-4.333,0.054999999999999716,4.388,0.1462950032849029,
193,Kyle Isbel,KCA,132,9,LEFT,426,384,88,60,8,42,27,10,2,0.229,CF,-0.672,-1.357,-1.376,-0.146,-0.836,-4.388,0.0,4.388,0.0,
194,Max Muncy,LAN,73,5,LEFT,293,237,55,47,15,48,45,1,0,0.232,3B,-1.388,-0.575,-1.075,-0.915,-0.463,-4.416,-0.3100000000000005,4.106,-0.8245718366967311,
195,Nick Gonzales,PIT,93,5,RIGHT,387,359,97,42,7,49,18,4,3,0.27,2B,-1.664,-1.469,-1.025,-0.659,0.351,-4.465,-0.2400000000000002,4.225,-0.6383781961523075,
196,TJ Friedl,CIN,85,4,LEFT,341,297,67,35,13,55,26,9,1,0.226,CF,-2.049,-0.798,-0.724,-0.232,-0.728,-4.532,-0.14400000000000013,4.388,-0.38302691769138447,
197,Keibert Ruiz,WAS| LAN,126,6,SWITCH,485,459,105,46,13,57,16,3,1,0.229,CC,-1.443,-0.798,-0.624,-0.744,-1.014,-4.623,2.159,6.782,5.742743856220128,
198,Spencer Horwitz,PIT| TOR,96,4,LEFT,381,328,87,46,12,40,42,0,0,0.265,1B| 2B,-1.443,-0.91,-1.477,-1.0,0.196,-4.634,-0.4090000000000007,4.225,-1.0879028426095583,
199,Jose Siri,NYN| HOU| TBA,125,7,RIGHT,448,402,75,49,18,47,31,14,7,0.187,CF,-1.278,-0.24,-1.126,0.195,-2.192,-4.64,-0.2519999999999998,4.388,-0.6702971059599216,
200,Mickey Moniak,COL| PHI| ANA,123,7,LEFT,418,392,86,45,14,49,21,8,4,0.219,CF,-1.498,-0.687,-1.025,-0.317,-1.148,-4.676,-0.28800000000000026,4.388,-0.7660538353827689,
201,Miguel Rojas,LAN| MIA,99,8,RIGHT,337,307,87,41,6,36,23,8,2,0.283,SS,-1.719,-1.581,-1.677,-0.317,0.612,-4.682,1.3979999999999997,6.08,3.718552992587187,
202,Johan Rojas,PHI,110,9,RIGHT,363,338,82,44,3,32,13,24,3,0.243,CF,-1.554,-1.916,-1.878,1.049,-0.387,-4.686,-0.29800000000000004,4.388,-0.7926529268891146,
203,Rowdy Tellez,SEA| TEX| TOR| MIL| PIT,126,5,LEFT,421,383,93,38,13,56,31,1,0,0.243,1B,-1.884,-0.798,-0.674,-0.915,-0.432,-4.703,-1.2730000000000001,3.43,-3.386064348757862,
204,Lars Nootbaar,SLN,106,6,LEFT,405,348,85,39,12,45,52,7,3,0.244,RF| LF| CF,-1.829,-0.91,-1.226,-0.403,-0.354,-4.721,-0.3330000000000002,4.388,-0.8857497471613264,
205,Wenceel Perez,DET,110,3,SWITCH,425,389,94,51,9,37,32,9,5,0.242,RF| CF,-1.168,-1.246,-1.627,-0.232,-0.474,-4.746,-0.35800000000000054,4.388,-0.9522474759271926,
206,Jose Iglesias,SDN| BAL| ANA| BOS| COL| NYN,75,7,RIGHT,291,270,91,37,4,26,12,6,2,0.337,2B| 3B,-1.939,-1.804,-2.179,-0.488,1.652,-4.758,-0.5330000000000004,4.225,-1.4177315772882493,
207,Joey Bart,PIT| SFN,77,4,RIGHT,282,253,67,38,13,45,22,0,0,0.265,CC,-1.884,-0.798,-1.226,-1.0,0.143,-4.765,2.0170000000000003,6.782,5.365036756830014,
208,Hunter Renfroe,KCA| TBA| BOS| MIL| ANA| CIN,116,5,RIGHT,424,385,88,44,15,52,36,1,1,0.229,RF,-1.554,-0.575,-0.875,-0.915,-0.856,-4.774,-0.3860000000000001,4.388,-1.0267249321449605,
209,Tommy Pham,PIT| SDN| BOS| CIN| ARI| NYN| CHA| KCA| SLN,116,1,RIGHT,478,440,109,49,9,39,35,7,3,0.248,RF| LF| CF,-1.278,-1.246,-1.527,-0.403,-0.33,-4.783,-0.39500000000000046,4.388,-1.050664114500673,
210,Nolan Gorman,SLN,105,8,LEFT,402,365,74,42,19,50,34,6,1,0.203,2B,-1.664,-0.128,-0.975,-0.488,-1.536,-4.791,-0.5660000000000007,4.225,-1.5055085792591925,
211,Travis d'Arnaud,ANA| ATL,95,5,RIGHT,341,307,73,40,15,48,24,1,0,0.238,CC,-1.774,-0.575,-1.075,-0.915,-0.465,-4.804,1.9779999999999998,6.782,5.261300299955263,
212,Austin Wells,NYA,111,4,LEFT,414,354,81,42,13,55,47,1,2,0.229,CC,-1.664,-0.798,-0.724,-0.915,-0.78,-4.881,1.9009999999999998,6.782,5.056487295356397,
213,Royce Lewis,MIN,82,3,RIGHT,325,292,68,40,16,47,28,0,0,0.233,3B| DH,-1.774,-0.463,-1.126,-1.0,-0.552,-4.915,-0.8090000000000002,4.106,-2.1518665028634016,
214,Ty France,MIN| TOR| SDN| SEA| CIN,139,6,RIGHT,535,479,112,46,13,51,38,1,1,0.234,1B,-1.443,-0.798,-0.925,-0.915,-0.871,-4.953,-1.5230000000000001,3.43,-4.051041636416515,
215,Jake Bauers,MIL| CLE| SEA| NYA,112,5,LEFT,346,302,60,45,12,43,39,13,1,0.199,1B,-1.498,-0.91,-1.326,0.11,-1.366,-4.991,-1.5609999999999995,3.43,-4.152118184140629,
216,Mauricio Dubon,HOU| SFN,127,9,RIGHT,428,402,108,42,4,47,16,3,2,0.269,LF| 2B| CF,-1.664,-1.804,-1.126,-0.744,0.346,-4.992,-0.6040000000000001,4.388,-1.606585126983306,
217,Rob Refsnyder,BOS| TEX| MIN,91,2,RIGHT,307,272,77,32,11,40,28,2,2,0.283,RF| LF,-2.215,-1.022,-1.477,-0.829,0.536,-5.007,-0.6189999999999998,4.388,-1.6464837642428243,
218,Santiago Espinal,CIN| TOR,115,8,RIGHT,391,357,88,32,9,45,24,11,1,0.246,3B| 2B,-2.215,-1.246,-1.226,-0.061,-0.301,-5.049,-0.8240000000000007,4.225,-2.1917651401229223,
219,Jonah Heim,TEX| OAK,131,7,SWITCH,491,459,101,45,13,59,26,1,1,0.22,CC,-1.498,-0.798,-0.524,-0.915,-1.321,-5.056,1.726,6.782,4.59100319399534,
220,Mark Canha,KCA| OAK| NYN| MIL| DET| SFN,124,2,RIGHT,462,393,95,46,7,42,51,7,0,0.242,1B| DH| LF,-1.443,-1.469,-1.376,-0.403,-0.476,-5.167,-0.7789999999999999,4.388,-2.0720692283443625,
221,Kevin Pillar,TEX| BOS| COL| NYN| LAN| ATL| ANA| CHA,94,4,RIGHT,314,284,65,35,8,45,16,12,3,0.229,CF,-2.049,-1.357,-1.226,0.024,-0.625,-5.233,-0.8449999999999998,4.388,-2.2476232322862466,
222,Ramon Laureano,BAL| SDN| OAK| CLE| ATL,91,6,RIGHT,309,286,74,34,11,33,15,8,3,0.259,RF| LF,-2.105,-1.022,-1.828,-0.317,0.028,-5.244,-0.8559999999999999,4.388,-2.276882232943228,
223,Max Schuemann,ATH| OAK,129,9,RIGHT,459,396,87,53,7,34,47,14,1,0.22,SS| 3B,-1.058,-1.469,-1.778,0.195,-1.151,-5.26,0.8200000000000003,6.08,2.181125503520383,
224,Orlando Arcia,ATL| COL| MIL,157,9,RIGHT,602,551,120,50,17,46,41,2,0,0.218,SS,-1.223,-0.351,-1.176,-0.829,-1.682,-5.261,0.819,6.08,2.1784655943697473,
225,Jon Singleton,HOU| MIL,119,6,LEFT,405,355,83,46,13,42,47,0,0,0.234,1B,-1.443,-0.798,-1.376,-1.0,-0.646,-5.264,-1.834,3.43,-4.878273382263879,
226,Will Benson,CIN| CLE,123,9,LEFT,388,343,64,40,14,43,40,16,7,0.187,RF| CF| LF,-1.774,-0.687,-1.326,0.366,-1.87,-5.291,-0.9030000000000005,4.388,-2.401897963023056,
227,Gabriel Moreno,ARI| TOR,95,8,RIGHT,351,305,81,39,5,45,41,3,1,0.266,CC,-1.829,-1.693,-1.226,-0.744,0.19,-5.301,1.4809999999999999,6.782,3.9393254520898604,
228,Tyrone Taylor,NYN| MIL,111,6,RIGHT,345,319,79,44,7,35,19,8,1,0.248,RF| CF| LF,-1.554,-1.469,-1.728,-0.317,-0.241,-5.308,-0.9199999999999999,4.388,-2.447116418583843,
229,Patrick Bailey,SFN,120,8,SWITCH,448,401,94,46,8,46,39,4,0,0.234,CC,-1.443,-1.357,-1.176,-0.659,-0.711,-5.346,1.436,6.782,3.8196295403113028,
230,Jorge Polanco,SEA| MIN,118,5,SWITCH,469,417,89,43,16,45,46,4,2,0.213,2B,-1.609,-0.463,-1.226,-0.659,-1.413,-5.369,-1.1440000000000001,4.225,-3.0429360683259965,
231,Francisco Alvarez,NYN,91,8,RIGHT,342,308,73,39,11,47,30,1,1,0.237,CC,-1.829,-1.022,-1.126,-0.915,-0.485,-5.376,1.4059999999999997,6.782,3.739832265792264,
232,Max Kepler,PHI| MIN,104,4,LEFT,399,368,93,43,8,42,22,1,0,0.253,RF,-1.609,-1.357,-1.376,-0.915,-0.135,-5.392,-1.0040000000000004,4.388,-2.670548787237152,
233,LaMonte Wade,ANA| SFN| MIN,116,2,LEFT,401,331,86,45,8,34,62,2,1,0.26,1B,-1.498,-1.357,-1.778,-0.829,0.06,-5.403,-1.9729999999999994,3.43,-5.248000754202089,
234,Mike Tauchman,CHA| NYA| SFN| CHN,105,1,LEFT,350,298,74,50,7,29,47,6,2,0.248,RF| DH,-1.223,-1.469,-2.029,-0.488,-0.21,-5.418,-1.0300000000000002,4.388,-2.7397064251536514,
235,Oswaldo Cabrera,NYA,93,9,SWITCH,326,299,74,45,8,36,21,4,1,0.247,3B,-1.498,-1.357,-1.677,-0.659,-0.23,-5.421,-1.3150000000000004,4.106,-3.497780533084516,
236,MJ Melendez,KCA,134,5,LEFT,451,412,85,44,17,44,35,4,4,0.206,LF,-1.554,-0.351,-1.276,-0.659,-1.621,-5.461,-1.0730000000000004,4.388,-2.85408251863094,
237,Ramon Urias,BAL| HOU,93,9,RIGHT,301,272,69,39,11,37,23,1,1,0.254,3B,-1.829,-1.022,-1.627,-0.915,-0.079,-5.472,-1.3660000000000005,4.106,-3.633435899766882,
238,Gio Urshela,ATH| NYA| MIN| ANA| ATL| DET,125,8,RIGHT,461,432,108,34,9,52,23,0,0,0.25,3B,-2.105,-1.246,-0.875,-1.0,-0.248,-5.473,-1.367,4.106,-3.636095808917515,
239,Kyle Higashioka,TEX| NYA| SDN,79,9,RIGHT,263,246,54,29,17,45,15,2,0,0.22,CC,-2.38,-0.351,-1.226,-0.829,-0.718,-5.505,1.2770000000000001,6.782,3.3967039853604,
240,Jonah Bride,MIA| MIN| OAK,67,4,RIGHT,272,232,64,30,11,39,30,0,1,0.276,1B,-2.325,-1.022,-1.527,-1.0,0.328,-5.546,-2.116,3.43,-5.6283677627428395,
241,Donovan Solano,SEA| TEX| SFN| CIN| MIN| SDN,95,5,RIGHT,309,283,81,31,8,35,22,2,1,0.286,1B| DH| 3B,-2.27,-1.357,-1.728,-0.829,0.626,-5.558,-1.452,4.106,-3.862188086721457,
242,Ivan Herrera,SLN,71,6,RIGHT,259,229,69,37,5,27,25,5,0,0.301,CC,-1.939,-1.693,-2.129,-0.573,0.772,-5.562,1.2199999999999998,6.782,3.2450891637742263,
243,Jake Cave,MIN| PHI| COL,110,7,LEFT,346,323,81,42,7,37,18,4,2,0.251,LF| RF,-1.664,-1.469,-1.627,-0.659,-0.166,-5.585,-1.197,4.388,-3.1839112533096308,
244,Seth Brown,ATH| OAK,120,5,LEFT,400,372,86,32,14,44,25,4,2,0.231,1B| LF| RF,-2.215,-0.687,-1.276,-0.659,-0.752,-5.588,-1.2000000000000002,4.388,-3.191890980761535,
245,Freddy Fermin,KCA| SDN,100,8,RIGHT,368,339,92,38,6,36,23,2,0,0.271,CC| DH,-1.884,-1.581,-1.677,-0.829,0.363,-5.609,1.173,6.782,3.1200734336944,
246,Enrique Hernandez,LAN| BOS,121,8,RIGHT,393,362,83,44,12,42,27,0,0,0.229,3B,-1.554,-0.91,-1.376,-1.0,-0.785,-5.625,-1.5190000000000001,4.106,-4.040401999813977,
247,Amed Rosario,NYA| WAS| NYN| CLE| LAN| CIN| TBA,99,5,RIGHT,346,332,93,28,3,32,9,12,5,0.28,RF| DH| 2B,-2.435,-1.916,-1.878,0.024,0.578,-5.627,-1.2389999999999999,4.388,-3.295627437636284,
248,Edmundo Sosa,PHI| SLN,87,8,RIGHT,274,249,64,39,7,31,13,7,1,0.257,SS| 2B| 3B,-1.829,-1.469,-1.928,-0.403,-0.008,-5.637,0.4430000000000005,6.08,1.1783397537311346,
249,Matt Wallner,MIN,75,4,LEFT,261,220,57,26,13,37,24,3,0,0.259,RF| LF,-2.545,-0.798,-1.627,-0.744,0.027,-5.688,-1.2999999999999998,4.388,-3.4578818958249955,
250,Kevin Newman,ANA| PIT| CIN| ARI,94,9,RIGHT,311,288,80,39,3,28,15,8,1,0.278,SS| 2B,-1.829,-1.916,-2.079,-0.317,0.45,-5.691,0.38900000000000023,6.08,1.0347046595968648,
251,Parker Meadows,DET,75,1,LEFT,298,270,66,37,9,28,25,9,3,0.244,CF,-1.939,-1.246,-2.079,-0.232,-0.271,-5.766,-1.3780000000000001,4.388,-3.665354809574496,
252,Jared Triolo,PIT,119,8,RIGHT,446,394,85,40,9,46,42,8,1,0.216,2B| 3B,-1.774,-1.246,-1.176,-0.317,-1.265,-5.777,-1.5520000000000005,4.225,-4.128179001784919,
253,Will Brennan,CLE,113,5,LEFT,353,330,87,37,8,30,19,4,2,0.264,RF,-1.939,-1.357,-1.978,-0.659,0.156,-5.777,-1.3890000000000002,4.388,-3.694613810231477,
254,Davis Schneider,TOR,129,1,RIGHT,454,397,76,48,13,46,47,6,0,0.191,LF| 2B,-1.333,-0.798,-1.176,-0.488,-2.016,-5.812,-1.4240000000000004,4.388,-3.787710630503689,
255,Josh Rojas,CHA| ARI| SEA,138,9,LEFT,476,422,95,48,8,31,46,10,4,0.225,3B,-1.333,-1.357,-1.928,-0.146,-1.05,-5.815,-1.7090000000000005,4.106,-4.545784738434554,
256,Connor Joe,CIN| SDN| COL| PIT,120,3,RIGHT,416,364,83,49,9,36,44,2,2,0.228,1B| RF,-1.278,-1.246,-1.677,-0.829,-0.824,-5.855,-1.4670000000000005,4.388,-3.9020867239809776,
257,Thairo Estrada,COL| NYA| SFN,96,7,RIGHT,381,364,79,43,9,47,10,2,2,0.217,2B,-1.609,-1.246,-1.126,-0.829,-1.132,-5.941,-1.7160000000000002,4.225,-4.564404102488995,
258,Brayan Rocchio,CLE,131,9,SWITCH,442,383,79,49,8,36,44,10,6,0.206,SS,-1.278,-1.357,-1.677,-0.146,-1.508,-5.968,0.1120000000000001,6.08,0.2979098248710768,
259,Richie Palacios,TBA| CLE| SLN,89,6,LEFT,316,264,59,42,5,21,45,17,1,0.223,RF| 2B| LF,-1.664,-1.693,-2.43,0.451,-0.69,-6.025,-1.6370000000000005,4.388,-4.354271279588861,
260,Garrett Mitchell,MIL,67,3,LEFT,224,196,50,33,8,21,25,11,3,0.255,RF| CF,-2.16,-1.357,-2.43,-0.061,-0.036,-6.044,-1.6559999999999997,4.388,-4.404809553450917,
261,Stuart Fairchild,ATL| ARI| CIN| SEA| SFN,85,9,RIGHT,233,209,45,33,8,30,17,13,1,0.215,CF| RF,-2.16,-1.357,-1.978,0.11,-0.678,-6.064,-1.6760000000000002,4.388,-4.45800773646361,
262,J. P. Crawford,SEA,105,1,LEFT,451,392,79,55,9,37,52,5,0,0.202,SS,-0.947,-1.246,-1.627,-0.573,-1.687,-6.08,0.0,6.08,0.0,
263,Jacob Stallings,BAL| COL| PIT| MIA,79,6,RIGHT,281,243,64,31,9,36,27,0,0,0.263,CC,-2.27,-1.246,-1.677,-1.0,0.11,-6.083,0.6989999999999998,6.782,1.8592764962935935,
264,Gavin Sheets,SDN| CHA,139,4,LEFT,501,451,105,35,10,45,43,2,2,0.233,1B| DH| RF,-2.049,-1.134,-1.226,-0.829,-0.855,-6.094,-1.7060000000000004,4.388,-4.537805010982649,
265,Tyler Freeman,COL| CLE,112,8,RIGHT,383,330,69,47,7,32,28,10,6,0.209,CF,-1.388,-1.469,-1.878,-0.146,-1.228,-6.11,-1.7220000000000004,4.388,-4.580363557392803,
266,Romy Gonzalez,BOS| CHA,87,2,RIGHT,216,199,53,25,6,29,12,11,2,0.266,1B| SS| 2B,-2.6,-1.581,-2.029,-0.061,0.136,-6.135,-0.054999999999999716,6.08,-0.1462950032849029,
