,Name,Team,L/R,POS,IP,GS,GP,HA,R,ER,HR,BB,K,W,L,S,HD,BS,ERA,WHIP,SB,CS,SBP,W-Z,K-Z,S-Z,ERA-Z,WHIP-Z,Z-SUM,Z-SUM-A,ACV,
118,Trevor Williams,WAS| PIT| CHN| NYN,RIGHT,SP,66.66666666666666,13,13,51,17,15,3,18,59,6,1,0,0,0,2.025,1.035,1,1,0.015,-0.731,-1.654,-0.501,1.059,0.514,-1.313,5.477,10.30145498590845,
119,Andrew Abbott,CIN,LEFT,SP,138.0,25,25,127,60,57,25,52,114,10,10,0,0,0,3.717,1.297,10,4,0.072,0.31,-0.468,-0.501,0.019,-0.679,-1.319,5.471,10.29016984259725,
120,Jared Koenig,MIL| OAK,LEFT,SP| RP,62.0,6,55,54,22,17,4,23,63,9,4,1,0,0,2.468,1.242,5,1,0.081,0.05,-1.568,-0.413,0.729,-0.14,-1.342,5.448,10.246910126570977,
121,Yu Darvish,SDN| CHN,RIGHT,SP,81.66666666666666,16,16,65,32,30,12,22,78,7,3,0,0,0,3.306,1.065,13,2,0.159,-0.47,-1.244,-0.501,0.324,0.511,-1.382,5.408,10.171675837829634,
122,Evan Phillips,LAN| BAL| TBA,RIGHT,RP,54.666666666666664,0,61,48,30,22,6,17,63,5,1,18,0,0,3.622,1.189,3,0,0.055,-0.991,-1.568,1.076,0.056,0.016,-1.411,5.379,10.117130978492158,
123,Ryne Nelson,ARI,RIGHT,SP| RP,150.66666666666666,25,28,155,73,71,17,34,126,10,6,1,0,0,4.241,1.254,2,0,0.013,0.31,-0.209,-0.413,-0.714,-0.432,-1.457,5.333,10.030611546439614,
124,Kevin Kelly,TBA,RIGHT,RP,70.66666666666664,0,68,59,25,21,7,9,63,5,2,1,0,0,2.675,0.962,6,2,0.085,-0.991,-1.568,-0.413,0.695,0.793,-1.484,5.306,9.979828401539207,
125,Keegan Akin,BAL,LEFT,RP,78.66666666666669,0,66,55,31,29,9,19,97,3,1,1,0,0,3.318,0.941,0,0,0.0,-1.511,-0.834,-0.413,0.303,0.964,-1.492,5.298,9.964781543790938,
126,Craig Kimbrel,ATL| HOU| CHN| CHA| LAN| PHI| BAL,RIGHT,RP,52.33333333333333,0,57,40,35,31,7,31,73,7,5,23,0,0,5.331,1.357,15,1,0.287,-0.47,-1.352,1.514,-0.779,-0.408,-1.495,5.295,9.959138972135337,
127,Chad Green,TOR| NYA,RIGHT,RP,53.333333333333336,0,53,41,20,19,8,14,46,4,6,17,0,0,3.206,1.031,6,2,0.112,-1.251,-1.934,0.988,0.261,0.421,-1.515,5.275,9.921521827764666,
128,Michael Lorenzen,KCA| CIN| ANA| DET| PHI| TEX,RIGHT,SP,130.33333333333334,24,26,101,49,48,17,60,97,7,6,0,0,0,3.315,1.235,6,5,0.046,-0.47,-0.834,-0.501,0.506,-0.253,-1.553,5.237,9.850049253460389,
129,Aroldis Chapman,BOS| NYA| KCA| TEX| PIT,LEFT,RP,61.66666666666666,0,68,44,31,26,5,39,98,5,5,14,0,0,3.795,1.346,11,3,0.178,-0.991,-0.813,0.726,-0.036,-0.449,-1.563,5.227,9.831240681275053,
130,Orion Kerkering,PHI,RIGHT,RP,63.0,2,64,51,20,16,2,17,74,5,3,0,0,0,2.286,1.079,6,2,0.095,-0.991,-1.331,-0.501,0.848,0.351,-1.624,5.166,9.716508390944506,
131,Porter Hodge,CHN,RIGHT,RP,43.0,0,39,19,10,9,2,19,52,3,1,9,0,0,1.884,0.884,3,3,0.07,-1.511,-1.805,0.288,0.739,0.645,-1.644,5.146,9.678891246573833,
132,Albert Suarez,BAL,RIGHT,SP| RP,133.66666666666669,24,32,130,56,55,17,43,108,9,7,0,0,0,3.703,1.294,10,3,0.075,0.05,-0.597,-0.501,0.036,-0.64,-1.652,5.138,9.663844388825565,
133,Clarke Schmidt,NYA,RIGHT,SP,85.33333333333333,16,16,71,31,27,8,30,93,5,5,0,0,0,2.848,1.184,5,7,0.059,-0.991,-0.921,-0.501,0.702,0.047,-1.664,5.126,9.641274102203162,
134,Ryan Yarbrough,NYA| TBA| KCA| LAN| TOR,LEFT,RP,98.66666666666667,0,44,70,36,35,11,32,65,5,2,1,0,0,3.193,1.034,8,7,0.081,-0.991,-1.525,-0.413,0.495,0.767,-1.667,5.123,9.635631530547561,
135,Trevor Megill,MIL| CHN| MIN,RIGHT,RP,46.33333333333333,0,48,33,16,14,4,14,50,1,3,21,0,0,2.719,1.014,9,1,0.194,-2.032,-1.848,1.339,0.436,0.403,-1.701,5.089,9.57168238511742,
136,Dean Kremer,BAL,RIGHT,SP,129.66666666666663,24,24,110,72,59,18,51,123,8,10,0,0,0,4.095,1.242,6,3,0.046,-0.21,-0.274,-0.501,-0.438,-0.292,-1.714,5.0760000000000005,9.547231241276483,
137,Jakob Junis,CLE| KCA| SFN| CIN| MIL,RIGHT,SP| RP,67.0,6,24,49,22,20,8,8,51,4,0,1,0,0,2.687,0.851,6,1,0.09,-1.251,-1.827,-0.413,0.652,1.112,-1.728,5.062,9.520899240217013,
138,Jared Jones,PIT,RIGHT,SP,121.66666666666667,22,22,106,60,56,18,39,132,6,8,0,0,0,4.143,1.192,5,2,0.041,-0.731,-0.08,-0.501,-0.465,0.019,-1.757,5.033,9.466354380879539,
139,Charlie Morton,ATL| BAL| DET| TBA,RIGHT,SP,165.33333333333331,30,30,154,85,77,23,65,167,8,10,0,0,0,4.191,1.325,12,7,0.073,-0.21,0.675,-0.501,-0.707,-1.033,-1.776,5.014,9.4306180937274,
140,Lucas Erceg,KCA| OAK,RIGHT,RP,61.66666666666667,0,61,49,26,23,3,16,72,2,6,14,0,0,3.357,1.054,0,0,0.0,-1.772,-1.374,0.726,0.215,0.419,-1.786,5.004,9.411809521542063,
141,Jose Soriano,ANA,RIGHT,SP,113.00000000000001,20,22,91,50,43,8,45,97,6,7,0,0,0,3.425,1.204,2,2,0.018,-0.731,-0.834,-0.501,0.323,-0.047,-1.79,5.0,9.40428609266793,
142,Cody Bradford,TEX,LEFT,SP,76.33333333333334,13,14,64,32,30,10,13,70,6,3,0,0,0,3.537,1.009,8,1,0.105,-0.731,-1.417,-0.501,0.138,0.685,-1.825,4.965,9.338456090019253,
143,Justin Slaten,BOS,RIGHT,RP,55.333333333333336,0,44,47,21,18,4,9,58,6,2,2,0,0,2.928,1.012,2,0,0.036,-0.731,-1.676,-0.326,0.414,0.488,-1.83,4.96,9.329051803926586,
144,A. J. Puk,ARI| OAK| MIA,LEFT,SP| RP,71.33333333333333,4,62,51,31,25,5,28,88,4,9,3,0,0,3.154,1.107,5,1,0.07,-1.251,-1.029,-0.238,0.383,0.301,-1.834,4.9559999999999995,9.32152837505245,
145,David Robertson,PHI| TBA| CHN| MIA| NYN| TEX,RIGHT,RP,72.0,0,68,53,25,24,5,27,99,3,4,2,0,0,3.000,1.111,2,1,0.028,-1.511,-0.791,-0.326,0.49,0.291,-1.847,4.943,9.297077231211514,
146,Pete Fairbanks,TBA,RIGHT,RP,45.333333333333336,0,46,36,20,18,4,17,44,3,3,23,0,0,3.574,1.169,5,1,0.11,-1.511,-1.978,1.514,0.067,0.057,-1.852,4.938,9.287672945118846,
147,Nick Lodolo,CIN,LEFT,SP,115.33333333333336,21,21,101,62,61,13,37,122,9,6,0,0,0,4.760,1.196,11,4,0.095,0.05,-0.295,-0.501,-1.103,-0.009,-1.858,4.932,9.276387801807646,
148,Dylan Lee,ATL,LEFT,RP,59.66666666666667,0,52,49,19,14,7,17,76,4,2,0,0,0,2.112,1.106,1,3,0.017,-1.251,-1.287,-0.501,0.899,0.256,-1.885,4.905,9.225604656907239,
149,Edwin Uceta,TBA| LAN| ARI| NYN,RIGHT,RP,41.66666666666666,0,30,26,8,7,2,8,57,2,0,5,0,0,1.512,0.816,3,1,0.072,-1.772,-1.697,-0.063,0.861,0.761,-1.91,4.88,9.1785832264439,
150,Alexis Diaz,ATL| CIN| LAN,RIGHT,RP,56.33333333333333,0,60,42,31,25,6,31,55,2,5,28,0,0,3.994,1.296,7,3,0.124,-1.772,-1.74,1.952,-0.137,-0.274,-1.971,4.819,9.06385093611335,
151,Joe Musgrove,PIT| SDN,RIGHT,SP,99.66666666666666,19,19,94,44,43,14,23,101,6,5,0,0,0,3.883,1.174,7,4,0.07,-0.731,-0.748,-0.501,-0.14,0.101,-2.019,4.771,8.973569789623738,
152,Joe Jimenez,DET| ATL,RIGHT,RP,68.66666666666667,0,69,45,22,20,2,23,82,1,5,3,0,0,2.621,0.990,4,0,0.058,-2.032,-1.158,-0.238,0.709,0.678,-2.041,4.7490000000000006,8.932190930816,
153,Bryan Abreu,HOU,RIGHT,RP,78.33333333333334,0,78,59,27,27,9,32,103,3,3,1,0,0,3.102,1.162,13,3,0.166,-1.511,-0.705,-0.413,0.459,0.126,-2.045,4.745,8.924667501941865,
154,Andrew Kittredge,BAL| CHN| TBA| SLN,RIGHT,RP,70.66666666666666,0,74,60,26,22,10,20,67,5,5,1,0,0,2.802,1.132,11,0,0.156,-0.991,-1.482,-0.413,0.611,0.214,-2.06,4.73,8.896454643663862,
155,Alec Marsh,KCA,RIGHT,SP,129.0,25,26,123,70,65,19,39,123,9,9,0,0,0,4.535,1.256,9,2,0.07,0.05,-0.274,-0.501,-0.964,-0.378,-2.066,4.724,8.88516950035266,
156,Reed Garrett,NYN| WAS| BAL,RIGHT,RP,57.33333333333333,0,53,50,28,24,6,30,83,8,5,4,0,0,3.767,1.395,7,2,0.122,-0.21,-1.136,-0.151,-0.019,-0.554,-2.07,4.720000000000001,8.877646071478527,
157,Joel Payamps,ATL| MIL| ARI| KCA| TOR| OAK,RIGHT,RP,59.00000000000001,0,68,39,23,20,7,18,59,3,7,6,0,0,3.051,0.966,3,2,0.051,-1.511,-1.654,0.025,0.374,0.651,-2.116,4.6739999999999995,8.791126639425979,
158,Brant Hurter,DET,LEFT,RP,45.33333333333333,1,10,34,13,13,4,6,38,6,1,0,0,0,2.581,0.882,1,0,0.022,-0.731,-2.107,-0.501,0.485,0.683,-2.17,4.62,8.689560349625166,
159,Shane Baz,TBA,RIGHT,SP,79.33333333333333,14,14,57,28,27,9,27,69,4,3,0,0,0,3.063,1.059,3,2,0.038,-1.251,-1.438,-0.501,0.494,0.521,-2.176,4.614,8.678275206313964,
160,Aaron Civale,CHA| CHN| MIL| CLE| TBA,RIGHT,SP,161.0,31,31,158,82,78,29,52,149,8,9,0,0,0,4.360,1.304,4,2,0.025,-0.21,0.287,-0.501,-0.941,-0.849,-2.214,4.5760000000000005,8.60680263200969,
161,Andrew Heaney,LAN| PIT| ANA| NYA| TEX,LEFT,SP,159.99999999999997,31,32,159,84,76,23,41,159,5,14,0,0,0,4.275,1.250,8,1,0.05,-0.991,0.503,-0.501,-0.808,-0.424,-2.222,4.568,8.59175577426142,
162,Reese Olson,DET,RIGHT,SP,112.33333333333331,22,22,100,51,44,7,33,101,4,8,0,0,0,3.525,1.184,9,1,0.08,-1.251,-0.748,-0.501,0.216,0.06,-2.225,4.5649999999999995,8.58611320260582,
163,Nick Sandlin,TOR| CLE,RIGHT,RP,57.66666666666666,1,68,46,29,24,12,27,68,8,0,1,0,0,3.746,1.266,6,2,0.104,-0.21,-1.46,-0.413,-0.007,-0.197,-2.288,4.502000000000001,8.467619197838205,
164,Andre Pallante,SLN,RIGHT,SP| RP,121.33333333333334,20,29,110,55,51,8,48,94,8,8,0,0,0,3.783,1.302,26,6,0.214,-0.21,-0.899,-0.501,-0.058,-0.627,-2.295,4.495,8.45445319730847,
165,Ryan Thompson,ARI| TBA,RIGHT,RP,66.33333333333331,0,67,64,26,24,5,15,52,7,5,2,0,0,3.256,1.191,17,1,0.256,-0.47,-1.805,-0.326,0.294,0.013,-2.295,4.495,8.45445319730847,
166,Chris Bassitt,TOR| OAK| NYN,RIGHT,SP,171.0,31,31,180,91,79,18,70,168,10,14,0,0,0,4.158,1.462,14,9,0.082,0.31,0.697,-0.501,-0.678,-2.201,-2.372,4.418,8.309627191481383,
167,JoJo Romero,SLN| PHI,LEFT,RP,59.00000000000002,0,65,52,23,22,8,16,51,7,3,1,0,0,3.356,1.153,1,2,0.017,-0.47,-1.827,-0.413,0.206,0.121,-2.383,4.407,8.288937762077513,
168,Garrett Cleavinger,TBA| PHI| LAN,LEFT,RP,60.000000000000014,0,68,52,29,25,6,31,71,7,5,6,0,0,3.750,1.383,14,1,0.233,-0.47,-1.395,0.025,-0.01,-0.545,-2.396,4.394,8.264486618236576,
169,Camilo Doval,NYA| SFN,RIGHT,RP,59.00000000000001,0,62,54,35,32,5,39,78,5,3,23,0,0,4.881,1.576,12,0,0.203,-0.991,-1.244,1.514,-0.631,-1.084,-2.436,4.354,8.189252329495233,
170,Kyle Gibson,BAL| TEX| PHI| SLN,RIGHT,SP,169.66666666666669,30,30,161,91,80,23,68,151,8,8,0,0,0,4.244,1.350,8,1,0.047,-0.21,0.33,-0.501,-0.808,-1.265,-2.454,4.336,8.155396899561628,
171,Lance Lynn,TEX| CHA| LAN| SLN,RIGHT,SP,117.33333333333334,23,23,113,64,50,16,44,109,7,4,0,0,0,3.835,1.338,16,3,0.136,-0.47,-0.576,-0.501,-0.113,-0.809,-2.469,4.321,8.127184041283623,
172,Ryan Weathers,MIA| SDN,LEFT,SP,86.66666666666666,16,16,78,39,35,11,24,80,5,6,0,0,0,3.635,1.177,5,2,0.058,-0.991,-1.201,-0.501,0.079,0.076,-2.539,4.2509999999999994,7.995524035986272,
173,Osvaldo Bido,ATH| PIT| OAK,RIGHT,SP| RP,63.333333333333336,9,16,43,25,24,3,26,63,5,3,0,0,0,3.410,1.089,6,1,0.095,-0.991,-1.568,-0.501,0.189,0.322,-2.548,4.242,7.978596321019471,
174,Will Vest,DET| SEA,RIGHT,RP,70.33333333333334,0,69,61,23,22,3,18,63,3,4,2,0,0,2.815,1.123,3,2,0.043,-1.511,-1.568,-0.326,0.6,0.243,-2.562,4.228,7.95226431996,
175,Mitchell Parker,WAS,LEFT,SP,151.0,29,29,154,82,72,18,43,133,7,10,0,0,0,4.291,1.305,4,1,0.026,-0.47,-0.058,-0.501,-0.786,-0.798,-2.613,4.177,7.856340601814788,
176,Tyler Rogers,NYN| SFN,RIGHT,RP,70.33333333333334,0,77,67,23,22,7,6,51,3,4,1,0,0,2.815,1.038,7,2,0.1,-1.511,-1.827,-0.413,0.6,0.533,-2.619,4.170999999999999,7.845055458503586,
177,Trent Thornton,SEA| TOR,RIGHT,RP,72.33333333333334,0,71,63,32,29,8,19,77,4,3,1,0,0,3.608,1.134,7,6,0.097,-1.251,-1.266,-0.413,0.083,0.214,-2.633,4.157,7.818723457444117,
178,Devin Williams,NYA| MIL,RIGHT,RP,21.666666666666664,0,22,10,3,3,1,11,38,1,0,14,0,0,1.246,0.969,1,0,0.046,-2.032,-2.107,0.726,0.501,0.236,-2.677,4.1129999999999995,7.735965739828638,
179,Javier Assad,CHN,RIGHT,SP,147.0,29,29,143,64,61,20,63,124,7,6,0,0,0,3.735,1.401,11,6,0.075,-0.47,-0.252,-0.501,-0.004,-1.462,-2.69,4.1,7.711514595987701,
180,Jorge Alcala,BOS| MIN| SLN,RIGHT,RP,58.33333333333333,0,54,40,23,21,8,20,58,4,3,0,0,0,3.240,1.029,9,3,0.154,-1.251,-1.676,-0.501,0.267,0.468,-2.693,4.0969999999999995,7.7058720243321,
181,Shelby Miller,ARI| MIL| CHN| PIT| SFN| LAN| DET,RIGHT,RP,55.666666666666664,0,51,41,31,28,9,13,49,6,8,2,0,0,4.527,0.970,5,0,0.09,-0.731,-1.87,-0.326,-0.412,0.604,-2.734,4.056,7.628756878372225,
182,Spencer Turnbull,TOR| DET| PHI,RIGHT,SP| RP,54.333333333333336,7,17,37,17,16,6,20,58,3,0,0,0,0,2.650,1.049,6,1,0.11,-1.511,-1.676,-0.501,0.547,0.382,-2.759,4.031000000000001,7.581735447908886,
183,Ryne Stanek,NYN| MIA| HOU| SEA,RIGHT,RP,55.33333333333332,0,63,48,32,30,8,25,67,7,3,7,0,0,4.880,1.319,2,0,0.036,-0.47,-1.482,0.112,-0.591,-0.331,-2.762,4.0280000000000005,7.576092876253285,
184,Spencer Arrighetti,HOU,RIGHT,SP,145.00000000000003,28,29,139,80,73,21,65,171,7,13,0,0,0,4.531,1.407,16,5,0.11,-0.47,0.762,-0.501,-1.078,-1.481,-2.769,4.021,7.562926875723549,
185,Pierce Johnson,ATL| SDN| COL,RIGHT,RP,56.33333333333335,0,58,48,25,23,6,25,67,6,6,2,0,0,3.675,1.296,8,1,0.142,-0.731,-1.482,-0.326,0.03,-0.274,-2.782,4.008,7.538475731882612,
186,Yimi Garcia,TOR| MIA| HOU| SEA,RIGHT,RP,39.0,0,39,23,15,15,6,12,49,3,0,5,0,0,3.462,0.897,5,0,0.128,-1.511,-1.87,-0.063,0.098,0.559,-2.787,4.003,7.529071445789945,
187,Yennier Cano,BAL| MIN,RIGHT,RP,59.999999999999986,0,70,54,24,21,6,24,65,4,3,5,0,0,3.150,1.300,7,3,0.117,-1.251,-1.525,-0.063,0.325,-0.304,-2.818,3.972,7.470764872015403,
188,Michael Tonkin,MIN| ATL| NYA| NYN,RIGHT,RP,79.3333333333333,0,57,70,43,32,6,30,85,4,4,2,0,0,3.630,1.260,8,1,0.101,-1.251,-1.093,-0.326,0.075,-0.251,-2.846,3.944,7.418100869896462,
189,Pedro Avila,SDN| CLE,RIGHT,RP,82.66666666666667,0,54,73,38,35,8,36,82,6,1,1,0,0,3.811,1.319,0,0,0.0,-0.731,-1.158,-0.413,-0.06,-0.492,-2.855,3.935,7.40117315492966,
190,Tyler Ferguson,ATH| OAK,RIGHT,RP,51.33333333333334,0,48,32,23,21,4,24,62,4,2,2,0,0,3.682,1.091,0,2,0.0,-1.251,-1.589,-0.326,0.024,0.258,-2.885,3.9050000000000002,7.344747438373654,
191,Buck Farmer,DET| CIN,RIGHT,RP,70.99999999999999,1,61,56,25,24,7,29,70,3,2,1,0,0,3.042,1.197,12,2,0.169,-1.511,-1.417,-0.413,0.456,-0.007,-2.894,3.896,7.327819723406851,
192,Jose Leclerc,ATH| TEX,RIGHT,RP,66.66666666666667,0,64,56,33,32,7,32,89,6,5,1,0,0,4.320,1.320,11,3,0.165,-0.731,-1.007,-0.413,-0.365,-0.402,-2.918,3.872,7.2826791501620445,
193,Dennis Santana,PIT| LAN| TEX| NYN| NYA,RIGHT,RP,71.66666666666664,0,62,57,33,31,4,21,69,3,1,3,0,0,3.893,1.088,7,2,0.098,-1.511,-1.438,-0.238,-0.107,0.368,-2.927,3.863,7.265751435195242,
194,A. J. Minter,NYN| ATL,LEFT,RP,34.33333333333334,0,39,24,10,10,6,11,35,5,4,1,0,0,2.621,1.019,1,3,0.029,-0.991,-2.172,-0.413,0.355,0.291,-2.931,3.859,7.258228006321108,
195,Hunter Strickland,ANA| NYN| MIL| TBA| CIN,RIGHT,RP,73.33333333333333,0,72,56,31,27,10,24,57,3,2,1,0,0,3.314,1.091,6,2,0.082,-1.511,-1.697,-0.413,0.285,0.368,-2.969,3.821,7.186755432016832,
196,Joe Mantiply,ARI,LEFT,RP,59.66666666666668,2,75,52,27,26,1,18,53,6,2,1,0,0,3.922,1.173,7,1,0.117,-0.731,-1.784,-0.413,-0.105,0.063,-2.97,3.82,7.184874574798298,
197,Landon Knack,LAN,RIGHT,SP| RP,69.0,12,15,58,28,28,14,18,69,3,5,1,0,0,3.652,1.101,7,0,0.101,-1.511,-1.438,-0.413,0.051,0.311,-3.001,3.789,7.126568001023757,
198,DJ Herz,WAS,LEFT,SP,88.66666666666666,19,19,76,45,41,11,36,106,4,9,0,0,0,4.162,1.263,2,0,0.023,-1.251,-0.64,-0.501,-0.354,-0.291,-3.038,3.7520000000000002,7.056976283938015,
199,Seranthony Dominguez,BAL| TOR| PHI,RIGHT,RP,58.66666666666668,0,63,52,32,29,12,21,68,3,4,11,0,0,4.449,1.244,12,0,0.205,-1.511,-1.46,0.463,-0.391,-0.139,-3.039,3.751,7.055095426719481,
200,Eli Morgan,CHN| CLE,RIGHT,RP,42.0,0,32,30,11,9,4,11,34,3,0,0,0,0,1.929,0.976,8,2,0.19,-1.511,-2.193,-0.501,0.705,0.443,-3.058,3.732,7.019359139567343,
201,Jose Alvarado,PHI| TBA,LEFT,RP,61.66666666666667,0,66,49,30,28,6,28,63,2,5,13,0,0,4.087,1.249,7,1,0.114,-1.772,-1.568,0.638,-0.203,-0.159,-3.064,3.726,7.008073996256141,
202,Phil Maton,SLN| TEX| CLE| HOU| NYN| TBA,RIGHT,RP,64.0,0,71,47,27,26,7,24,60,3,3,3,0,0,3.656,1.109,2,2,0.031,-1.511,-1.633,-0.238,0.045,0.264,-3.073,3.717,6.991146281289339,
203,Adrian Morejon,SDN,LEFT,RP,63.66666666666665,0,60,63,24,20,4,21,71,3,2,2,0,0,2.827,1.319,9,0,0.141,-1.511,-1.395,-0.326,0.536,-0.382,-3.078,3.712,6.981741995196671,
204,Simeon Woods Richardson,MIN,RIGHT,SP,133.66666666666666,28,28,125,63,62,16,48,117,5,5,0,0,0,4.175,1.294,11,2,0.082,-0.991,-0.403,-0.501,-0.55,-0.64,-3.085,3.705,6.968575994666936,
205,Bailey Falter,KCA| PIT| PHI,LEFT,SP,142.33333333333334,28,28,138,72,70,17,45,97,8,9,0,0,0,4.426,1.286,18,5,0.126,-0.21,-0.834,-0.501,-0.919,-0.622,-3.087,3.703,6.964814280229868,
206,Yuki Matsui,SDN,LEFT,RP,62.66666666666668,0,64,46,27,26,8,27,69,4,2,0,0,0,3.734,1.165,2,1,0.032,-1.251,-1.438,-0.501,-0.001,0.091,-3.101,3.689,6.938482279170398,
207,James McArthur,KCA,RIGHT,RP,56.66666666666666,0,57,68,36,31,8,14,49,5,7,18,0,0,4.923,1.447,3,1,0.053,-0.991,-1.87,1.076,-0.628,-0.689,-3.101,3.689,6.938482279170398,
208,Matt Waldron,SDN,RIGHT,SP,146.66666666666669,26,27,145,84,80,21,40,133,7,11,0,0,0,4.909,1.261,16,2,0.109,-0.47,-0.058,-0.501,-1.606,-0.469,-3.105,3.685,6.930958850296264,
209,Zack Kelly,BOS,RIGHT,SP| RP,56.666666666666664,3,49,44,31,25,10,27,61,6,3,0,0,0,3.971,1.253,6,1,0.106,-0.731,-1.611,-0.501,-0.126,-0.158,-3.127,3.6630000000000003,6.889579991488525,
210,Dedniel Nunez,NYN,RIGHT,RP,35.00000000000001,0,25,24,11,9,3,8,48,2,0,1,0,0,2.314,0.914,3,1,0.086,-1.772,-1.891,-0.413,0.462,0.474,-3.141,3.649,6.863247990429055,
211,Bryan Hoeing,SDN| MIA,RIGHT,RP,53.666666666666664,2,34,43,15,13,4,14,43,2,3,0,0,0,2.180,1.062,7,2,0.13,-1.772,-1.999,-0.501,0.775,0.344,-3.153,3.637,6.8406777038066515,
212,Dylan Floro,LAN| MIA| MIN| ARI| WAS,RIGHT,RP,68.66666666666669,0,66,65,31,29,5,17,48,6,4,0,0,0,3.801,1.194,9,1,0.131,-0.731,-1.891,-0.501,-0.044,0.003,-3.164,3.626,6.819988274402783,
213,Merrill Kelly,ARI| TEX,RIGHT,SP,73.66666666666667,13,13,67,35,33,11,19,63,5,1,0,0,0,4.032,1.167,5,2,0.068,-0.991,-1.568,-0.501,-0.205,0.098,-3.167,3.623,6.8143457027471825,
214,Collin Snider,SEA| KCA,RIGHT,RP,41.66666666666666,0,42,36,14,9,5,13,47,3,4,0,0,0,1.944,1.176,3,1,0.072,-1.511,-1.913,-0.501,0.693,0.038,-3.194,3.596,6.763562557846775,
215,Kyle Harrison,BOS| SFN,LEFT,SP,124.33333333333334,24,24,125,65,63,18,42,118,7,7,0,0,0,4.560,1.343,18,6,0.145,-0.47,-0.382,-0.501,-0.958,-0.888,-3.199,3.591,6.7541582717541075,
216,Elvis Peguero,CHA| MIL| ANA,RIGHT,RP,51.33333333333334,0,52,52,22,17,4,27,47,7,4,2,0,0,2.981,1.539,4,0,0.078,-0.47,-1.913,-0.326,0.359,-0.851,-3.201,3.589,6.75039655731704,
217,Beau Brieske,DET,RIGHT,SP| RP,67.66666666666666,12,46,55,31,27,5,30,69,4,5,1,0,0,3.591,1.256,5,3,0.074,-1.251,-1.438,-0.413,0.089,-0.199,-3.214,3.576,6.725945413476103,
218,Jake Cousins,MIL| NYA,RIGHT,RP,38.00000000000001,0,37,20,14,10,5,20,53,2,1,1,0,0,2.368,1.053,6,0,0.158,-1.772,-1.784,-0.413,0.482,0.261,-3.226,3.564,6.7033751268537,
219,Paul Sewald,CLE| DET| NYN| SEA| ARI,RIGHT,RP,39.666666666666664,0,42,35,19,19,6,10,43,1,2,16,0,0,4.311,1.135,4,1,0.101,-2.032,-1.999,0.901,-0.214,0.116,-3.228,3.562,6.699613412416633,
220,Jacob Barnes,TOR| ANA| NYN| DET| NYA| SLN| WAS,RIGHT,RP,66.0,0,63,67,36,32,10,20,55,8,3,0,0,0,4.364,1.318,7,1,0.106,-0.21,-1.74,-0.501,-0.388,-0.392,-3.231,3.559,6.6939708407610325,
221,Carmen Mlodzinski,PIT,RIGHT,SP| RP,50.66666666666667,4,40,41,22,19,3,19,46,5,5,0,0,0,3.375,1.184,6,0,0.118,-0.991,-1.934,-0.501,0.168,0.026,-3.232,3.558,6.692089983542498,
222,Manuel Rodriguez,TBA| CHN,RIGHT,RP,37.666666666666664,0,40,29,13,9,3,11,34,3,4,2,0,0,2.150,1.062,0,0,0.0,-1.511,-2.193,-0.326,0.554,0.242,-3.235,3.555,6.686447411886898,
223,Erik Miller,SFN,LEFT,SP| RP,67.33333333333333,10,73,50,33,29,7,38,87,4,5,0,0,0,3.876,1.307,8,3,0.119,-1.251,-1.05,-0.501,-0.09,-0.363,-3.256,3.5340000000000003,6.646949410297693,
224,Jalen Beeks,ARI| TBA| COL| PIT,LEFT,RP,70.00000000000001,0,71,77,42,35,6,27,55,7,4,10,0,0,4.500,1.486,4,0,0.057,-0.47,-1.74,0.375,-0.5,-0.981,-3.317,3.473,6.532217119967144,
225,Bryse Wilson,CHA| ATL| PIT| MIL,RIGHT,SP| RP,104.66666666666666,9,34,102,49,47,20,31,82,5,4,0,0,0,4.041,1.271,7,3,0.067,-0.991,-1.158,-0.501,-0.301,-0.382,-3.333,3.457,6.502123404470606,
226,Hogan Harris,ATH| OAK,LEFT,SP| RP,72.33333333333333,9,21,65,29,23,7,33,61,4,4,0,0,0,2.862,1.355,2,3,0.028,-1.251,-1.611,-0.501,0.586,-0.557,-3.335,3.455,6.49836169003354,
227,Jacob Webb,TEX| ATL| ANA| BAL,RIGHT,RP,56.66666666666666,0,60,40,23,19,4,27,58,2,5,2,0,0,3.018,1.182,4,2,0.071,-1.772,-1.676,-0.326,0.377,0.035,-3.362,3.428,6.447578545133132,
228,Tylor Megill,NYN,RIGHT,SP,78.00000000000001,15,16,70,39,35,8,32,91,4,5,0,0,0,4.038,1.308,5,2,0.064,-1.251,-0.964,-0.501,-0.222,-0.424,-3.362,3.428,6.447578545133132,
229,Hayden Wesneski,HOU| CHN,RIGHT,SP| RP,67.66666666666667,7,28,56,37,29,12,21,67,3,6,0,0,0,3.857,1.138,3,0,0.044,-1.511,-1.482,-0.501,-0.079,0.186,-3.387,3.403,6.400557114669793,
230,David Bednar,NYA| PIT| SDN,RIGHT,RP,57.66666666666665,0,62,54,40,37,9,28,58,3,8,23,0,0,5.775,1.422,14,0,0.243,-1.511,-1.676,1.514,-1.096,-0.631,-3.4,3.39,6.376105970828856,
231,Chris Martin,TEX| ATL| CHN| LAN| BOS,RIGHT,RP,44.333333333333336,0,45,47,22,17,5,3,50,3,1,2,0,0,3.451,1.128,6,2,0.135,-1.511,-1.848,-0.326,0.116,0.144,-3.426,3.364,6.3272036831469824,
